#     beta          m             H            s          d1/d         d2/d         Cf          xk         Eta Max       Lambda      End_BL
   -0.14101     -0.06586      2.96868      0.23745      2.34227      0.78899      0.16228      1.46322      5.83200     -0.04100     398573
   -0.13898     -0.06497      2.95792      0.24202      2.32700      0.78670      0.16548      1.46252      5.82923     -0.04021     398573
   -0.13692     -0.06407      2.94738      0.24658      2.31192      0.78440      0.16868      1.46182      5.82642     -0.03942     398573
   -0.13483     -0.06316      2.93704      0.25112      2.29704      0.78209      0.17187      1.46111      5.82358     -0.03863     398573
   -0.13272     -0.06223      2.92691      0.25566      2.28235      0.77978      0.17506      1.46039      5.73721     -0.03784     392856
   -0.13059     -0.06129      2.91697      0.26018      2.26785      0.77747      0.17825      1.45965      5.73434     -0.03705     392856
   -0.12843     -0.06034      2.90723      0.26469      2.25352      0.77514      0.18143      1.45892      5.73144     -0.03626     392856
   -0.12625     -0.05938      2.89767      0.26919      2.23937      0.77282      0.18461      1.45817      5.72850     -0.03546     392856
   -0.12405     -0.05840      2.88829      0.27367      2.22540      0.77049      0.18778      1.45741      5.72553     -0.03467     392856
   -0.12182     -0.05741      2.87909      0.27815      2.21160      0.76816      0.19095      1.45665      5.64329     -0.03388     387417
   -0.11957     -0.05641      2.87007      0.28261      2.19796      0.76582      0.19412      1.45587      5.64030     -0.03308     387417
   -0.11729     -0.05540      2.86121      0.28707      2.18449      0.76349      0.19728      1.45509      5.63727     -0.03229     387417
   -0.11499     -0.05437      2.85251      0.29151      2.17118      0.76115      0.20045      1.45430      5.63421     -0.03150     387417
   -0.11267     -0.05333      2.84397      0.29594      2.15802      0.75881      0.20360      1.45350      5.63112     -0.03071     387417
   -0.11033     -0.05228      2.83558      0.30036      2.14502      0.75647      0.20676      1.45270      5.55262     -0.02992     382228
   -0.10797     -0.05122      2.82735      0.30476      2.13217      0.75412      0.20991      1.45189      5.54951     -0.02913     382228
   -0.10559     -0.05015      2.81926      0.30916      2.11947      0.75178      0.21306      1.45106      5.54637     -0.02834     382228
   -0.10318     -0.04906      2.81132      0.31354      2.10691      0.74944      0.21620      1.45024      5.54320     -0.02756     382228
   -0.10076     -0.04796      2.80352      0.31791      2.09450      0.74710      0.21934      1.44940      5.54001     -0.02677     382228
   -0.09831     -0.04685      2.79585      0.32227      2.08223      0.74476      0.22248      1.44855      5.46493     -0.02599     377268
   -0.09584     -0.04573      2.78831      0.32662      2.07010      0.74242      0.22561      1.44770      5.46172     -0.02521     377268
   -0.09336     -0.04460      2.78091      0.33096      2.05810      0.74008      0.22875      1.44684      5.45848     -0.02443     377268
   -0.09085     -0.04345      2.77363      0.33529      2.04623      0.73774      0.23188      1.44598      5.45521     -0.02365     377268
   -0.08832     -0.04229      2.76648      0.33960      2.03449      0.73541      0.23500      1.44510      5.45191     -0.02287     377268
   -0.08578     -0.04112      2.75944      0.34391      2.02289      0.73308      0.23812      1.44422      5.37994     -0.02210     372515
   -0.08321     -0.03994      2.75253      0.34820      2.01140      0.73075      0.24124      1.44333      5.37663     -0.02133     372515
   -0.08063     -0.03875      2.74572      0.35248      2.00004      0.72842      0.24436      1.44244      5.37330     -0.02056     372515
   -0.07802     -0.03755      2.73904      0.35675      1.98881      0.72610      0.24748      1.44154      5.36994     -0.01980     372515
   -0.07540     -0.03633      2.73246      0.36100      1.97769      0.72378      0.25059      1.44063      5.36655     -0.01903     372515
   -0.07276     -0.03510      2.72599      0.36525      1.96669      0.72146      0.25370      1.43971      5.29745     -0.01827     367953
   -0.07011     -0.03387      2.71962      0.36949      1.95580      0.71915      0.25680      1.43879      5.29406     -0.01751     367953
   -0.06743     -0.03262      2.71336      0.37371      1.94503      0.71684      0.25991      1.43786      5.29063     -0.01676     367953
   -0.06474     -0.03135      2.70719      0.37792      1.93437      0.71453      0.26301      1.43692      5.28719     -0.01601     367953
   -0.06203     -0.03008      2.70113      0.38212      1.92382      0.71223      0.26611      1.43598      5.28371     -0.01526     367953
   -0.05930     -0.02879      2.69516      0.38631      1.91337      0.70993      0.26920      1.43503      5.21726     -0.01451     363566
   -0.05655     -0.02750      2.68928      0.39049      1.90304      0.70764      0.27230      1.43407      5.21378     -0.01377     363566
   -0.05379     -0.02619      2.68350      0.39466      1.89280      0.70535      0.27539      1.43310      5.21028     -0.01303     363566
   -0.05101     -0.02487      2.67780      0.39882      1.88267      0.70307      0.27848      1.43213      5.20676     -0.01229     363566
   -0.04821     -0.02354      2.67220      0.40296      1.87264      0.70079      0.28156      1.43116      5.20321     -0.01156     363566
   -0.04540     -0.02220      2.66668      0.40710      1.86271      0.69851      0.28465      1.43018      5.13921     -0.01083     359341
   -0.04257     -0.02084      2.66124      0.41122      1.85288      0.69625      0.28773      1.42919      5.13565     -0.01010     359341
   -0.03973     -0.01948      2.65589      0.41533      1.84314      0.69398      0.29081      1.42819      5.13208     -0.00938     359341
   -0.03687     -0.01810      2.65062      0.41943      1.83350      0.69173      0.29389      1.42719      5.12848     -0.00866     359341
   -0.03399     -0.01671      2.64542      0.42352      1.82395      0.68947      0.29696      1.42618      5.12486     -0.00795     359341
   -0.03110     -0.01531      2.64031      0.42760      1.81449      0.68723      0.30004      1.42517      5.06314     -0.00723     355266
   -0.02820     -0.01390      2.63527      0.43167      1.80513      0.68499      0.30311      1.42415      5.05951     -0.00652     355266
   -0.02528     -0.01248      2.63030      0.43573      1.79585      0.68275      0.30618      1.42312      5.05587     -0.00582     355266
   -0.02234     -0.01105      2.62541      0.43978      1.78666      0.68052      0.30925      1.42209      5.05220     -0.00512     355266
   -0.01939     -0.00960      2.62059      0.44381      1.77755      0.67830      0.31231      1.42105      5.04851     -0.00442     355266
   -0.01642     -0.00814      2.61584      0.44784      1.76853      0.67609      0.31538      1.42001      4.98893     -0.00372     351331
   -0.01344     -0.00668      2.61116      0.45185      1.75960      0.67388      0.31844      1.41896      4.98524     -0.00303     351331
   -0.01045     -0.00520      2.60654      0.45586      1.75074      0.67167      0.32150      1.41790      4.98153     -0.00234     351331
   -0.00744     -0.00370      2.60199      0.45985      1.74197      0.66948      0.32456      1.41684      4.97780     -0.00166     351331
   -0.00441     -0.00220      2.59750      0.46383      1.73328      0.66729      0.32762      1.41577      4.97405     -0.00098     351331
   -0.00138     -0.00069      2.59308      0.46780      1.72466      0.66510      0.33067      1.41470      4.91647     -0.00030     347527
    0.00167      0.00084      2.58872      0.47177      1.71613      0.66292      0.33373      1.41362      4.91272      0.00037     347527
    0.00474      0.00237      2.58442      0.47572      1.70767      0.66075      0.33678      1.41254      4.90895      0.00104     347527
    0.00782      0.00392      2.58019      0.47966      1.69928      0.65859      0.33983      1.41145      4.90516      0.00170     347527
    0.01091      0.00548      2.57600      0.48359      1.69097      0.65643      0.34288      1.41035      4.90135      0.00236     347527
    0.01401      0.00706      2.57188      0.48751      1.68274      0.65428      0.34593      1.40925      4.84565      0.00302     343846
    0.01713      0.00864      2.56782      0.49142      1.67457      0.65214      0.34898      1.40814      4.84185      0.00367     343846
    0.02026      0.01023      2.56380      0.49532      1.66648      0.65000      0.35203      1.40703      4.83803      0.00432     343846
    0.02340      0.01184      2.55985      0.49920      1.65845      0.64787      0.35507      1.40592      4.83418      0.00497     343846
    0.02656      0.01346      2.55594      0.50308      1.65050      0.64575      0.35812      1.40479      4.83032      0.00561     343846
    0.02973      0.01509      2.55209      0.50695      1.64261      0.64363      0.36116      1.40366      4.77637      0.00625     340279
