# case : Constant_Source_Doublet_Potential
#          x          Cp 
9.990041515273e-01 4.628886927260e-01  1 
9.962848608003e-01 4.078041506904e-01  2 
9.919784066484e-01 3.651878045144e-01  3 
9.861565607362e-01 3.311706163110e-01  4 
9.788718877441e-01 3.031070641379e-01  5 
9.701680942660e-01 2.792056917765e-01  6 
9.600842326998e-01 2.582974828468e-01  7 
9.486568117959e-01 2.396188922772e-01  8 
9.359209895356e-01 2.226547795396e-01  9 
9.219112986691e-01 2.070434043011e-01  10 
9.066621086898e-01 1.925212452825e-01  11 
8.902079276372e-01 1.788904215186e-01  12 
8.725836008270e-01 1.659987356379e-01  13 
8.538244401997e-01 1.537269298557e-01  14 
8.339663052578e-01 1.419802220933e-01  15 
8.130456492423e-01 1.306824885578e-01  16 
7.910995397830e-01 1.197721475007e-01  17 
7.681656604810e-01 1.091991747256e-01  18 
7.442822980731e-01 9.892289454792e-02  19 
7.194883186208e-01 8.891031565076e-02  20 
6.938231353252e-01 7.913485825193e-02  21 
6.673266699823e-01 6.957536769922e-02  22 
6.400393096590e-01 6.021534132285e-02  23 
6.120018598559e-01 5.104231653144e-02  24 
5.832554951790e-01 4.204738257304e-02  25 
5.538417083549e-01 3.322478840901e-02  26 
5.238022582787e-01 2.457162624543e-02  27 
4.931791176619e-01 1.608757536134e-02  28 
4.620144207516e-01 7.774694593580e-03  29 
4.303504115113e-01 -3.627454174973e-04  30 
3.982293925831e-01 -8.318397047782e-03  31 
3.656936752961e-01 -1.608394284178e-02  32 
3.327855309313e-01 -2.364917904494e-02  33 
2.995471434133e-01 -3.100207862466e-02  34 
2.660205635592e-01 -3.812883612655e-02  35 
2.322476649815e-01 -4.501389610616e-02  36 
1.982701017152e-01 -5.163996635927e-02  37 
1.641292676101e-01 -5.798801675179e-02  38 
1.298662575122e-01 -6.403726405869e-02  39 
9.552183023351e-02 -6.976514289264e-02  40 
6.113637329853e-02 -7.514726246838e-02  41 
2.674986943782e-02 -8.015734865586e-02  42 
-7.598135210540e-03 -8.476717045167e-02  43 
-4.186856124122e-02 -8.894644969053e-02  44 
-7.602282452063e-02 -9.266275248098e-02  45 
-1.100228631880e-01 -9.588136048373e-02  46 
-1.438311631867e-01 -9.856511976061e-02  47 
-1.774107823956e-01 -1.006742644724e-01  48 
-2.107253734358e-01 -1.021662122110e-01  49 
-2.437392052239e-01 -1.029953271886e-01  50 
-2.764171833469e-01 -1.031126468635e-01  51 
-3.087248693322e-01 -1.024655668617e-01  52 
-3.406284988821e-01 -1.009974782208e-01  53 
-3.720949991431e-01 -9.864735005836e-02  54 
-4.030920050750e-01 -9.534924971231e-02  55 
-4.335878749842e-01 -9.103179124884e-02  56 
-4.635517052778e-01 -8.561750197575e-02  57 
-4.929533444982e-01 -7.902209527250e-02  58 
-5.217634066846e-01 -7.115363674911e-02  59 
-5.499532841146e-01 -6.191158954665e-02  60 
-5.774951594642e-01 -5.118572378630e-02  61 
-6.043620174292e-01 -3.885487506217e-02  62 
-6.305276558419e-01 -2.478553811475e-02  63 
-6.559666963139e-01 -8.830285389346e-03  64 
-6.806545944341e-01 9.173992306900e-03  65 
-7.045676495443e-01 2.940801178888e-02  66 
-7.276830141135e-01 5.207215407034e-02  67 
-7.499787027279e-01 7.738857322952e-02  68 
-7.714336007101e-01 1.056032085492e-01  69 
-7.920274723800e-01 1.369874341095e-01  70 
-8.117409689635e-01 1.718388882353e-01  71 
-8.305556361576e-01 2.104807116035e-01  72 
-8.484539213548e-01 2.532579108538e-01  73 
-8.654191805279e-01 3.005287296216e-01  74 
-8.814356847773e-01 3.526475491797e-01  75 
-8.964886265392e-01 4.099336335732e-01  76 
-9.105641254508e-01 4.726164763200e-01  77 
-9.236492338722e-01 5.407428528888e-01  78 
-9.357319420577e-01 6.140219472375e-01  79 
-9.468011829746e-01 6.915721286145e-01  80 
-9.568468367618e-01 7.715162305343e-01  81 
-9.658597348256e-01 8.503560511401e-01  82 
