 case : Constant_S_Source
#          x          Cp 
9.959892033242e-01 4.016636228491e-01  1 
9.810732504572e-01 2.963996895504e-01  2 
9.530445419008e-01 2.234220704863e-01  3 
9.130644585864e-01 1.658831798089e-01  4 
8.620871164475e-01 1.161787595580e-01  5 
8.010659828694e-01 7.073119841767e-02  6 
7.309943979031e-01 2.762263050189e-02  7 
6.529124975906e-01 -1.425136673451e-02  8 
5.679020590673e-01 -5.553760962025e-02  9 
4.770763348950e-01 -9.659528200014e-02  10 
3.815679712213e-01 -1.375848245752e-01  11 
2.825165979564e-01 -1.785172684980e-01  12 
1.810569612469e-01 -2.192822923362e-01  13 
7.830806347502e-02 -2.596635507444e-01  14 
-2.463647754140e-02 -2.993451687702e-01  15 
-1.267168034581e-01 -3.379106153279e-01  16 
-2.269139828712e-01 -3.748331002555e-01  17 
-3.242560912450e-01 -4.094543461240e-01  18 
-4.178233522105e-01 -4.409452014578e-01  19 
-5.067524946962e-01 -4.682356938948e-01  20 
-5.902404699783e-01 -4.898910325258e-01  21 
-6.675476526931e-01 -5.038879079767e-01  22 
-7.380006251272e-01 -5.071991525523e-01  23 
-8.009946184339e-01 -4.949947236846e-01  24 
-8.559956604675e-01 -4.590476021689e-01  25 
-9.025424593248e-01 -3.844792413021e-01  26 
-9.402480353170e-01 -2.433589008745e-01  27 
-9.688011022400e-01 1.424143156133e-02  28 
-9.879671913006e-01 4.429119148472e-01  29 
-9.975895074415e-01 9.140156069126e-01  30 
-9.975895074415e-01 9.140156069126e-01  31 
-9.879671913006e-01 4.429119148471e-01  32 
-9.688011022400e-01 1.424143156125e-02  33 
-9.402480353170e-01 -2.433589008745e-01  34 
-9.025424593248e-01 -3.844792413021e-01  35 
-8.559956604675e-01 -4.590476021688e-01  36 
-8.009946184339e-01 -4.949947236846e-01  37 
-7.380006251272e-01 -5.071991525523e-01  38 
-6.675476526931e-01 -5.038879079767e-01  39 
-5.902404699783e-01 -4.898910325258e-01  40 
-5.067524946962e-01 -4.682356938948e-01  41 
-4.178233522105e-01 -4.409452014578e-01  42 
-3.242560912450e-01 -4.094543461240e-01  43 
-2.269139828712e-01 -3.748331002555e-01  44 
-1.267168034581e-01 -3.379106153279e-01  45 
-2.463647754140e-02 -2.993451687702e-01  46 
7.830806347502e-02 -2.596635507444e-01  47 
1.810569612469e-01 -2.192822923362e-01  48 
2.825165979564e-01 -1.785172684980e-01  49 
3.815679712213e-01 -1.375848245752e-01  50 
4.770763348950e-01 -9.659528200014e-02  51 
5.679020590673e-01 -5.553760962024e-02  52 
6.529124975906e-01 -1.425136673450e-02  53 
7.309943979031e-01 2.762263050189e-02  54 
8.010659828694e-01 7.073119841766e-02  55 
8.620871164475e-01 1.161787595580e-01  56 
9.130644585864e-01 1.658831798089e-01  57 
9.530445419008e-01 2.234220704863e-01  58 
9.810732504572e-01 2.963996895504e-01  59 
9.959892033242e-01 4.016636228491e-01  60 
