#    eta               f             df/deta       d2f/deta^2       d3f/deta^3            v Rex
# -0.19878900E+00    # beta 
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.40694792E-03  0.00000000E+00  0.00000000E+00
 0.60000003E-02  0.93241655E-08  0.38330731E-05  0.92227584E-03  0.90408402E-01  0.68371370E-08
 0.12000001E-01  0.50876294E-07  0.10912712E-04  0.14647263E-02  0.90408402E-01  0.40038129E-07
 0.18000001E-01  0.14418216E-06  0.21247054E-04  0.20071767E-02  0.90408402E-01  0.11913241E-06
 0.24000001E-01  0.30876999E-06  0.34836099E-04  0.25496271E-02  0.90408402E-01  0.26364821E-06
 0.30000001E-01  0.56416799E-06  0.51679846E-04  0.30920776E-02  0.90408401E-01  0.49311373E-06
 0.36000002E-01  0.92990439E-06  0.71778296E-04  0.36345280E-02  0.90408400E-01  0.82705720E-06
 0.42000002E-01  0.14255074E-05  0.95131449E-04  0.41769784E-02  0.90408399E-01  0.12850068E-05
 0.48000002E-01  0.20705052E-05  0.12173930E-03  0.47194288E-02  0.90408396E-01  0.18864908E-05
 0.54000003E-01  0.28844261E-05  0.15160186E-03  0.52618792E-02  0.90408393E-01  0.26510374E-05
 0.60000003E-01  0.38867982E-05  0.18471912E-03  0.58043296E-02  0.90408389E-01  0.35981749E-05
 0.66000003E-01  0.50971498E-05  0.22109109E-03  0.63467800E-02  0.90408383E-01  0.47474313E-05
 0.72000003E-01  0.65350091E-05  0.26071775E-03  0.68892303E-02  0.90408375E-01  0.61183349E-05
 0.78000004E-01  0.82199043E-05  0.30359912E-03  0.74316805E-02  0.90408366E-01  0.77304140E-05
 0.84000004E-01  0.10171364E-04  0.34973519E-03  0.79741307E-02  0.90408354E-01  0.96031967E-05
 0.90000004E-01  0.12408915E-04  0.39912596E-03  0.85165808E-02  0.90408340E-01  0.11756211E-04
 0.96000005E-01  0.14952087E-04  0.45177143E-03  0.90590308E-02  0.90408322E-01  0.14208986E-04
 0.10200000E+00  0.17820408E-04  0.50767160E-03  0.96014807E-02  0.90408301E-01  0.16981048E-04
 0.10800001E+00  0.21033406E-04  0.56682646E-03  0.10143930E-01  0.90408276E-01  0.20091927E-04
 0.11400001E+00  0.24610609E-04  0.62923603E-03  0.10686380E-01  0.90408247E-01  0.23561151E-04
 0.12000001E+00  0.28571545E-04  0.69490030E-03  0.11228829E-01  0.90408213E-01  0.27408247E-04
 0.12600001E+00  0.32935743E-04  0.76381926E-03  0.11771279E-01  0.90408173E-01  0.31652744E-04
 0.13200001E+00  0.37722731E-04  0.83599291E-03  0.12313728E-01  0.90408128E-01  0.36314170E-04
 0.13800001E+00  0.42952036E-04  0.91142126E-03  0.12856176E-01  0.90408076E-01  0.41412052E-04
 0.14400001E+00  0.48643187E-04  0.99010430E-03  0.13398625E-01  0.90408017E-01  0.46965919E-04
 0.15000001E+00  0.54815712E-04  0.10720420E-02  0.13941073E-01  0.90407951E-01  0.52995300E-04
 0.15600001E+00  0.61489140E-04  0.11572344E-02  0.14483520E-01  0.90407876E-01  0.59519721E-04
 0.16200001E+00  0.68682998E-04  0.12456815E-02  0.15025967E-01  0.90407792E-01  0.66558711E-04
 0.16800001E+00  0.76416814E-04  0.13373833E-02  0.15568414E-01  0.90407699E-01  0.74131797E-04
 0.17400001E+00  0.84710117E-04  0.14323398E-02  0.16110860E-01  0.90407596E-01  0.82258508E-04
 0.18000001E+00  0.93582435E-04  0.15305509E-02  0.16653305E-01  0.90407482E-01  0.90958371E-04
 0.18600001E+00  0.10305329E-03  0.16320167E-02  0.17195749E-01  0.90407355E-01  0.10025091E-03
 0.19200001E+00  0.11314223E-03  0.17367372E-02  0.17738193E-01  0.90407217E-01  0.11015566E-03
 0.19800001E+00  0.12386876E-03  0.18447123E-02  0.18280636E-01  0.90407065E-01  0.12069215E-03
 0.20400001E+00  0.13525241E-03  0.19559421E-02  0.18823078E-01  0.90406898E-01  0.13187990E-03
 0.21000001E+00  0.14731272E-03  0.20704265E-02  0.19365519E-01  0.90406717E-01  0.14373843E-03
 0.21600001E+00  0.16006921E-03  0.21881656E-02  0.19907959E-01  0.90406520E-01  0.15628729E-03
 0.22200001E+00  0.17354142E-03  0.23091593E-02  0.20450397E-01  0.90406306E-01  0.16954599E-03
 0.22800001E+00  0.18774886E-03  0.24334076E-02  0.20992834E-01  0.90406074E-01  0.18353405E-03
 0.23400001E+00  0.20271107E-03  0.25609106E-02  0.21535270E-01  0.90405824E-01  0.19827102E-03
 0.24000001E+00  0.21844757E-03  0.26916682E-02  0.22077704E-01  0.90405554E-01  0.21377641E-03
 0.24600001E+00  0.23497789E-03  0.28256803E-02  0.22620137E-01  0.90405263E-01  0.23006975E-03
 0.25200001E+00  0.25232156E-03  0.29629471E-02  0.23162568E-01  0.90404950E-01  0.24717057E-03
 0.25800001E+00  0.27049810E-03  0.31034684E-02  0.23704996E-01  0.90404615E-01  0.26509839E-03
