#  Theta paroi en deg  Angle Choc en deg        Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000       30.00000000        0.00000000        0.50000000        2.00000000        2.0000000
     2.63098018       30.00180000        0.01162364        0.49479602        2.00000000        1.99991838
     2.83832549       30.00431852        0.01321010        0.49408977        2.00000000        1.99980420
     3.13120123       30.00899259        0.01557718        0.49303774        2.00000000        1.99959232
     3.50494766       30.01725926        0.01880275        0.49160745        2.00000000        1.99921770
     3.93030583       30.03055556        0.02273920        0.48986696        2.00000000        1.99861547
     4.38275912       30.05031852        0.02722070        0.48789204        2.00000000        1.99772105
     4.84804238       30.07798519        0.03213057        0.48573612        2.00000000        1.99647034
     5.31921699       30.11499259        0.03740045        0.48343088        2.00000000        1.99479992
     5.79345546       30.16277778        0.04299576        0.48099287        2.00000000        1.99264735
     6.27010841       30.22277778        0.04890408        0.47842878        2.00000000        1.98995137
     6.66721351       30.28277778        0.05403821        0.47620895        2.00000000        1.98726292
     7.01221751       30.34277778        0.05865165        0.47422056        2.00000000        1.98458195
     7.32012544       30.40277778        0.06288708        0.47240017        2.00000000        1.98190837
     7.60010338       30.46277778        0.06683370        0.47070816        2.00000000        1.97924212
     7.85820099       30.52277778        0.07055148        0.46911787        2.00000000        1.97658313
     8.09863438       30.58277778        0.07408286        0.46761047        2.00000000        1.97393133
     8.32446997       30.64277778        0.07745916        0.46617206        2.00000000        1.97128665
     8.53801514       30.70277778        0.08070418        0.46479206        2.00000000        1.96864903
     8.74104812       30.76277778        0.08383649        0.46346224        2.00000000        1.96601840
     8.93497717       30.82277778        0.08687091        0.46217601        2.00000000        1.96339469
     9.12093276       30.88277778        0.08981945        0.46092805        2.00000000        1.96077785
     9.29984066       30.94277778        0.09269199        0.45971396        2.00000000        1.95816780
     9.47246596       31.00277778        0.09549679        0.45853009        2.00000000        1.95556449
     9.63945503       31.06277778        0.09824083        0.45737332        2.00000000        1.95296786
     9.80134972       31.12277778        0.10093002        0.45624104        2.00000000        1.95037784
     9.95861923       31.18277778        0.10356950        0.45513095        2.00000000        1.94779437
    10.11166375       31.24277778        0.10616367        0.45404109        2.00000000        1.94521740
    10.26083559       31.30277778        0.10871641        0.45296974        2.00000000        1.94264686
