#  Theta paroi en °  Inverse Mach Paroi  Mach amont
     1.53963134        0.68561860        3.20000000
     1.86039515        0.68492931        3.20000000
     2.20415094        0.68411028        3.20000000
     2.57452941        0.68314451        3.20000000
     2.95728524        0.68206465        3.20000000
     3.34418254        0.68089645        3.20000000
     3.73235811        0.67965362        3.20000000
     4.12174635        0.67834132        3.20000000
     4.51356142        0.67695937        3.20000000
     4.90956242        0.67550422        3.20000000
     5.24228082        0.67423890        3.20000000
     5.53395519        0.67309918        3.20000000
     5.79658612        0.67204955        3.20000000
     6.03744819        0.67106809        3.20000000
     6.26131142        0.67014019        3.20000000
     6.47148651        0.66925559        3.20000000
     6.67037265        0.66840678        3.20000000
     6.85976851        0.66758807        3.20000000
     7.04106008        0.66679503        3.20000000
     7.21533963        0.66602418        3.20000000
     7.38348461        0.66527265        3.20000000
     7.54621122        0.66453814        3.20000000
     7.70411238        0.66381869        3.20000000
     7.85768482        0.66311267        3.20000000
     8.00734922        0.66241870        3.20000000
     8.15346524        0.66173558        3.20000000
     8.29634288        0.66106227        3.20000000
     8.43625145        0.66039789        3.20000000
     8.57342648        0.65974162        3.20000000
     8.70807529        0.65909279        3.20000000
     8.84038129        0.65845076        3.20000000
     8.97050768        0.65781498        3.20000000
     9.09860031        0.65718495        3.20000000
     9.22479015        0.65656023        3.20000000
     9.34919522        0.65594042        3.20000000
     9.47192232        0.65532513        3.20000000
     9.59306842        0.65471405        3.20000000
     9.71272183        0.65410687        3.20000000
     9.83096326        0.65350329        3.20000000
     9.94786665        0.65290308        3.20000000
    10.06349993        0.65230598        3.20000000
    10.17792568        0.65171179        3.20000000
    10.29120170        0.65112029        3.20000000
    10.40338140        0.65053130        3.20000000
    10.51451440        0.64994465        3.20000000
    10.62464674        0.64936016        3.20000000
    10.73382130        0.64877770        3.20000000
    10.84207809        0.64819711        3.20000000
    10.94945444        0.64761826        3.20000000
    11.05598535        0.64704103        3.20000000
    11.16170357        0.64646530        3.20000000
    11.26663986        0.64589096        3.20000000
    11.37082314        0.64531790        3.20000000
    11.47428060        0.64474603        3.20000000
    11.57703792        0.64417525        3.20000000
    11.67911930        0.64360547        3.20000000
    11.78054758        0.64303661        3.20000000
    11.88134442        0.64246859        3.20000000
    11.98153030        0.64190134        3.20000000
    12.08112463        0.64133478        3.20000000
    12.18014584        0.64076884        3.20000000
    12.27861143        0.64020346        3.20000000
    12.37653805        0.63963858        3.20000000
    12.47394154        0.63907414        3.20000000
    12.57083696        0.63851008        3.20000000
    12.66723872        0.63794634        3.20000000
    12.76316052        0.63738288        3.20000000
    12.85861547        0.63681964        3.20000000
    12.95361609        0.63625659        3.20000000
    13.04817435        0.63569366        3.20000000
    13.14230170        0.63513082        3.20000000
    13.23600913        0.63456803        3.20000000
    13.32930713        0.63400524        3.20000000
    13.42220581        0.63344242        3.20000000
    13.51471484        0.63287953        3.20000000
    13.60684350        0.63231652        3.20000000
    13.69860072        0.63175338        3.20000000
    13.78999509        0.63119005        3.20000000
    13.88103485        0.63062652        3.20000000
    13.97172796        0.63006275        3.20000000
    14.06208206        0.62949870        3.20000000
    14.15210451        0.62893435        3.20000000
    14.24180242        0.62836968        3.20000000
    14.33118263        0.62780464        3.20000000
    14.42025177        0.62723922        3.20000000
    14.50901620        0.62667339        3.20000000
    14.59748208        0.62610712        3.20000000
    14.68565538        0.62554040        3.20000000
    14.77354184        0.62497319        3.20000000
    14.86114702        0.62440547        3.20000000
    14.94847630        0.62383722        3.20000000
    15.03553490        0.62326843        3.20000000
    15.12232786        0.62269906        3.20000000
    15.20886005        0.62212909        3.20000000
    15.29513623        0.62155852        3.20000000
    15.38116095        0.62098731        3.20000000
    15.46693868        0.62041544        3.20000000
    15.55247373        0.61984291        3.20000000
    15.63777026        0.61926969        3.20000000
    15.72283237        0.61869576        3.20000000
    15.80766399        0.61812111        3.20000000
    15.89226893        0.61754572        3.20000000
    15.97665093        0.61696957        3.20000000
    16.06081359        0.61639265        3.20000000
    16.14476044        0.61581494        3.20000000
    16.22849489        0.61523642        3.20000000
    16.31202026        0.61465708        3.20000000
    16.39533979        0.61407691        3.20000000
    16.47845661        0.61349590        3.20000000
    16.56137380        0.61291401        3.20000000
    16.64409435        0.61233125        3.20000000
    16.72662114        0.61174760        3.20000000
    16.80895701        0.61116305        3.20000000
    16.89110472        0.61057758        3.20000000
    16.97306696        0.60999118        3.20000000
    17.05484633        0.60940384        3.20000000
    17.13644541        0.60881554        3.20000000
    17.21786667        0.60822628        3.20000000
    17.29911255        0.60763603        3.20000000
    17.38018542        0.60704480        3.20000000
    17.46108759        0.60645256        3.20000000
    17.54182133        0.60585931        3.20000000
    17.62238883        0.60526504        3.20000000
    17.70279224        0.60466973        3.20000000
    17.78303369        0.60407337        3.20000000
    17.86311520        0.60347596        3.20000000
    17.94303880        0.60287748        3.20000000
    18.02280644        0.60227792        3.20000000
    18.10242004        0.60167727        3.20000000
    18.18188149        0.60107553        3.20000000
    18.26119259        0.60047268        3.20000000
    18.34035517        0.59986870        3.20000000
    18.41937095        0.59926361        3.20000000
    18.49824166        0.59865737        3.20000000
    18.57696898        0.59804999        3.20000000
    18.65555454        0.59744146        3.20000000
    18.73399995        0.59683176        3.20000000
    18.81230679        0.59622088        3.20000000
    18.89047660        0.59560883        3.20000000
    18.96851088        0.59499558        3.20000000
    19.04641111        0.59438113        3.20000000
    19.12417873        0.59376548        3.20000000
    19.20181516        0.59314860        3.20000000
    19.27932178        0.59253050        3.20000000
    19.35669997        0.59191117        3.20000000
    19.43395104        0.59129060        3.20000000
    19.51107631        0.59066877        3.20000000
    19.58807705        0.59004569        3.20000000
    19.66495451        0.58942134        3.20000000
    19.74170993        0.58879572        3.20000000
    19.81834451        0.58816881        3.20000000
    19.89485944        0.58754062        3.20000000
    19.97125586        0.58691113        3.20000000
    20.04753493        0.58628033        3.20000000
    20.12369775        0.58564822        3.20000000
    20.19974541        0.58501479        3.20000000
    20.27567900        0.58438003        3.20000000
    20.35149957        0.58374394        3.20000000
    20.42720814        0.58310650        3.20000000
    20.50280573        0.58246771        3.20000000
    20.57829335        0.58182757        3.20000000
    20.65367195        0.58118606        3.20000000
    20.72894251        0.58054318        3.20000000
    20.80410597        0.57989893        3.20000000
    20.87916324        0.57925328        3.20000000
