#  Theta paroi en °         Kp           Mach amont
     1.55217211        0.00837752        1.01000000
     1.55432381        0.00839926        1.01000000
     1.56105105        0.00846739        1.01000000
     1.57546843        0.00861424        1.01000000
     1.59992789        0.00886602        1.01000000
     1.63611115        0.00924451        1.01000000
     1.68479539        0.00976515        1.01000000
     1.74558089        0.01043350        1.01000000
     1.81710741        0.01124593        1.01000000
     1.89752769        0.01219294        1.01000000
     1.96953386        0.01307102        1.01000000
     2.03481218        0.01389172        1.01000000
     2.09460894        0.01466414        1.01000000
     2.14985524        0.01539537        1.01000000
     2.20126110        0.01609100        1.01000000
     2.24937876        0.01675549        1.01000000
     2.29464616        0.01739247        1.01000000
     2.33741634        0.01800490        1.01000000
     2.37797828        0.01859527        1.01000000
     2.41657153        0.01916567        1.01000000
     2.45339708        0.01971789        1.01000000
     2.48862537        0.02025344        1.01000000
     2.52240210        0.02077367        1.01000000
     2.55485302        0.02127972        1.01000000
     2.58608743        0.02177261        1.01000000
     2.61620095        0.02225325        1.01000000
     2.64527780        0.02272244        1.01000000
     2.67339254        0.02318088        1.01000000
     2.70061155        0.02362924        1.01000000
     2.72699415        0.02406808        1.01000000
     2.75259375        0.02449794        1.01000000
     2.77745834        0.02491928        1.01000000
     2.80163151        0.02533256        1.01000000
     2.82515277        0.02573816        1.01000000
     2.84805822        0.02613646        1.01000000
     2.87038075        0.02652780        1.01000000
     2.89215069        0.02691248        1.01000000
     2.91339571        0.02729079        1.01000000
     2.93414148        0.02766300        1.01000000
     2.95441163        0.02802937        1.01000000
     2.97422809        0.02839012        1.01000000
     2.99361117        0.02874546        1.01000000
     3.01257978        0.02909561        1.01000000
     3.03115150        0.02944075        1.01000000
     3.04934283        0.02978106        1.01000000
     3.06716904        0.03011671        1.01000000
     3.08464463        0.03044785        1.01000000
     3.10178299        0.03077464        1.01000000
     3.11859682        0.03109721        1.01000000
     3.13509807        0.03141569        1.01000000
     3.15129792        0.03173021        1.01000000
     3.16720701        0.03204090        1.01000000
     3.18283529        0.03234786        1.01000000
     3.19819226        0.03265119        1.01000000
     3.21328682        0.03295101        1.01000000
     3.22812747        0.03324741        1.01000000
     3.24272224        0.03354047        1.01000000
     3.25707877        0.03383029        1.01000000
     3.27120435        0.03411696        1.01000000
     3.28510582        0.03440055        1.01000000
     3.29878984        0.03468113        1.01000000
     3.31226255        0.03495879        1.01000000
     3.32553006        0.03523359        1.01000000
     3.33859799        0.03550560        1.01000000
     3.35147179        0.03577489        1.01000000
     3.36415675        0.03604151        1.01000000
     3.37665773        0.03630552        1.01000000
     3.38897962        0.03656699        1.01000000
     3.40112693        0.03682596        1.01000000
     3.41310405        0.03708250        1.01000000
     3.42491518        0.03733664        1.01000000
     3.43656443        0.03758845        1.01000000
     3.44805556        0.03783796        1.01000000
     3.45939243        0.03808522        1.01000000
     3.47057854        0.03833028        1.01000000
     3.48161735        0.03857318        1.01000000
     3.49251219        0.03881396        1.01000000
     3.50326627        0.03905265        1.01000000
     3.51388271        0.03928931        1.01000000
     3.52436440        0.03952396        1.01000000
     3.53471428        0.03975663        1.01000000
     3.54493511        0.03998738        1.01000000
     3.55502954        0.04021622        1.01000000
     3.56500016        0.04044319        1.01000000
     3.57484946        0.04066832        1.01000000
     3.58457992        0.04089165        1.01000000
     3.59419379        0.04111320        1.01000000
     3.60369338        0.04133299        1.01000000
     3.61308084        0.04155107        1.01000000
     3.62235835        0.04176745        1.01000000
     3.63152792        0.04198217        1.01000000
     3.64059155        0.04219524        1.01000000
     3.64955115        0.04240670        1.01000000
     3.65840862        0.04261656        1.01000000
     3.66716580        0.04282485        1.01000000
     3.67582439        0.04303159        1.01000000
     3.68438614        0.04323681        1.01000000
     3.69285268        0.04344053        1.01000000
     3.70122569        0.04364276        1.01000000
     3.70950668        0.04384354        1.01000000
     3.71769718        0.04404287        1.01000000
     3.72579870        0.04424078        1.01000000
     3.73381266        0.04443728        1.01000000
     3.74174048        0.04463241        1.01000000
     3.74958352        0.04482616        1.01000000
     3.75734307        0.04501857        1.01000000
     3.76502052        0.04520964        1.01000000
     3.77261704        0.04539940        1.01000000
     3.78013391        0.04558786        1.01000000
     3.78757228        0.04577504        1.01000000
     3.79493339        0.04596095        1.01000000
     3.80221832        0.04614562        1.01000000
     3.80942818        0.04632904        1.01000000
     3.81656408        0.04651124        1.01000000
     3.82362705        0.04669224        1.01000000
     3.83061815        0.04687204        1.01000000
     3.83753836        0.04705066        1.01000000
     3.84438866        0.04722812        1.01000000
     3.85117002        0.04740442        1.01000000
     3.85788341        0.04757958        1.01000000
     3.86452968        0.04775361        1.01000000
     3.87110978        0.04792653        1.01000000
     3.87762453        0.04809834        1.01000000
     3.88407484        0.04826906        1.01000000
     3.89046150        0.04843870        1.01000000
     3.89678534        0.04860727        1.01000000
     3.90304720        0.04877478        1.01000000
     3.90924780        0.04894124        1.01000000
     3.91538793        0.04910667        1.01000000
     3.92146834        0.04927107        1.01000000
     3.92748976        0.04943446        1.01000000
     3.93345289        0.04959684        1.01000000
     3.93935845        0.04975822        1.01000000
     3.94520712        0.04991861        1.01000000
     3.95099961        0.05007803        1.01000000
     3.95673652        0.05023648        1.01000000
     3.96241851        0.05039397        1.01000000
     3.96804626        0.05055051        1.01000000
     3.97362030        0.05070611        1.01000000
     3.97914136        0.05086077        1.01000000
     3.98460991        0.05101451        1.01000000
     3.99002662        0.05116734        1.01000000
     3.99539204        0.05131926        1.01000000
     4.00070670        0.05147027        1.01000000
     4.00597117        0.05162040        1.01000000
     4.01118602        0.05176964        1.01000000
     4.01635176        0.05191801        1.01000000
     4.02146890        0.05206550        1.01000000
     4.02653796        0.05221213        1.01000000
     4.03155943        0.05235791        1.01000000
     4.03653380        0.05250284        1.01000000
     4.04146158        0.05264694        1.01000000
     4.04634324        0.05279019        1.01000000
     4.05117923        0.05293262        1.01000000
     4.05596999        0.05307423        1.01000000
     4.06071598        0.05321503        1.01000000
     4.06541770        0.05335501        1.01000000
     4.07007549        0.05349420        1.01000000
     4.07468984        0.05363259        1.01000000
     4.07926114        0.05377020        1.01000000
     4.08378982        0.05390702        1.01000000
     4.08827625        0.05404306        1.01000000
     4.09272089        0.05417833        1.01000000
     4.09712406        0.05431284        1.01000000
     4.10148618        0.05444659        1.01000000
     4.10580765        0.05457958        1.01000000
     4.11008881        0.05471183        1.01000000
     4.11433001        0.05484333        1.01000000
     4.11853163        0.05497409        1.01000000
     4.12269403        0.05510412        1.01000000
     4.12681755        0.05523343        1.01000000
     4.13090254        0.05536201        1.01000000
     4.13494933        0.05548987        1.01000000
     4.13895826        0.05561702        1.01000000
     4.14292965        0.05574347        1.01000000
     4.14686382        0.05586921        1.01000000
     4.15076108        0.05599425        1.01000000
     4.15462174        0.05611860        1.01000000
     4.15844610        0.05624226        1.01000000
     4.16223450        0.05636524        1.01000000
     4.16598721        0.05648753        1.01000000
     4.16970449        0.05660915        1.01000000
     4.17338669        0.05673010        1.01000000
     4.17703406        0.05685039        1.01000000
     4.18064687        0.05697001        1.01000000
     4.18422543        0.05708897        1.01000000
     4.18776997        0.05720728        1.01000000
     4.19128080        0.05732494        1.01000000
     4.19475814        0.05744195        1.01000000
     4.19820226        0.05755832        1.01000000
     4.20161347        0.05767405        1.01000000
     4.20499194        0.05778915        1.01000000
     4.20833794        0.05790361        1.01000000
     4.21165178        0.05801745        1.01000000
     4.21493363        0.05813067        1.01000000
     4.21818375        0.05824326        1.01000000
     4.22140236        0.05835524        1.01000000
     4.22458970        0.05846661        1.01000000
     4.22774601        0.05857737        1.01000000
     4.23087152        0.05868752        1.01000000
     4.23396644        0.05879707        1.01000000
     4.23703098        0.05890602        1.01000000
     4.24006536        0.05901438        1.01000000
     4.24306981        0.05912214        1.01000000
     4.24604453        0.05922932        1.01000000
     4.24898972        0.05933591        1.01000000
     4.25190559        0.05944192        1.01000000
     4.25479233        0.05954735        1.01000000
     4.25765014        0.05965220        1.01000000
     4.26047921        0.05975648        1.01000000
     4.26327979        0.05986019        1.01000000
     4.26605202        0.05996333        1.01000000
     4.26879606        0.06006591        1.01000000
     4.27151218        0.06016792        1.01000000
     4.27420050        0.06026938        1.01000000
     4.27686120        0.06037028        1.01000000
     4.27949452        0.06047063        1.01000000
     4.28210054        0.06057043        1.01000000
     4.28467954        0.06066968        1.01000000
     4.28723160        0.06076839        1.01000000
     4.28975697        0.06086656        1.01000000
     4.29225575        0.06096418        1.01000000
     4.29472816        0.06106128        1.01000000
     4.29717432        0.06115783        1.01000000
     4.29959440        0.06125386        1.01000000
     4.30198860        0.06134935        1.01000000
     4.30435704        0.06144432        1.01000000
     4.30669986        0.06153877        1.01000000
     4.30901726        0.06163269        1.01000000
     4.31130938        0.06172610        1.01000000
     4.31357635        0.06181899        1.01000000
     4.31581832        0.06191137        1.01000000
     4.31803544        0.06200323        1.01000000
     4.32022786        0.06209458        1.01000000
     4.32239575        0.06218543        1.01000000
     4.32453922        0.06227577        1.01000000
     4.32665840        0.06236561        1.01000000
     4.32875345        0.06245495        1.01000000
     4.33082450        0.06254379        1.01000000
     4.33287168        0.06263213        1.01000000
     4.33489513        0.06271999        1.01000000
     4.33689497        0.06280734        1.01000000
     4.33887135        0.06289421        1.01000000
     4.34082438        0.06298059        1.01000000
     4.34275422        0.06306649        1.01000000
     4.34466096        0.06315190        1.01000000
     4.34654474        0.06323683        1.01000000
     4.34840566        0.06332129        1.01000000
     4.35024385        0.06340526        1.01000000
     4.35205948        0.06348876        1.01000000
     4.35385262        0.06357178        1.01000000
     4.35562338        0.06365434        1.01000000
     4.35737190        0.06373642        1.01000000
     4.35909830        0.06381804        1.01000000
     4.36080266        0.06389919        1.01000000
     4.36248513        0.06397987        1.01000000
     4.36414581        0.06406009        1.01000000
     4.36578478        0.06413986        1.01000000
     4.36740221        0.06421916        1.01000000
     4.36899813        0.06429801        1.01000000
     4.37057273        0.06437640        1.01000000
     4.37212603        0.06445434        1.01000000
     4.37365823        0.06453183        1.01000000
     4.37516933        0.06460886        1.01000000
     4.37665952        0.06468545        1.01000000
     4.37812884        0.06476159        1.01000000
     4.37957740        0.06483729        1.01000000
     4.38100535        0.06491254        1.01000000
     4.38241271        0.06498735        1.01000000
