#  Mach amont      Angle Choc en °  Theta Mach = 1 en °  Inverse Mach         Kp
     2.16000000       61.81423717       40.81189669       -0.10920966        1.08356304
     2.18000000       61.86057237       41.04344779       -0.10793486        1.08988261
     2.20000000       61.90763410       41.27008418       -0.10669390        1.09607419
     2.22000000       61.95533368       41.49190887       -0.10548594        1.10214050
     2.24000000       62.00356667       41.70906710       -0.10430994        1.10808452
     2.26000000       62.05224585       41.92168092       -0.10316500        1.11390901
     2.28000000       62.10129594       42.12985823       -0.10205022        1.11961663
     2.30000000       62.15063850       42.33372205       -0.10096469        1.12521010
     2.32000000       62.20020002       42.53339367       -0.09990750        1.13069207
     2.34000000       62.24993466       42.72894716       -0.09887793        1.13606487
     2.36000000       62.29976623       42.92052308       -0.09787499        1.14133123
     2.38000000       62.34964373       43.10821840       -0.09689791        1.14649354
     2.40000000       62.39952730       43.29211365       -0.09594596        1.15155407
     2.42000000       62.44936991       43.47230853       -0.09501838        1.15651515
     2.44000000       62.49912513       43.64890607       -0.09411437        1.16137914
     2.46000000       62.54875602       43.82199470       -0.09323322        1.16614823
     2.48000000       62.59822851       43.99166087       -0.09237424        1.17082461
     2.50000000       62.64751121       44.15798913       -0.09153674        1.17541037
     2.52000000       62.69657517       44.32106213       -0.09072008        1.17990759
     2.54000000       62.74539374       44.48096074       -0.08992361        1.18431831
     2.56000000       62.79394237       44.63776404       -0.08914671        1.18864449
     2.58000000       62.84219845       44.79154941       -0.08838879        1.19288809
     2.60000000       62.89014520       44.94238464       -0.08764928        1.19705095
     2.62000000       62.93777107       45.09032896       -0.08692769        1.20113481
     2.64000000       62.98504940       45.23547255       -0.08622339        1.20514161
     2.66000000       63.03196394       45.37788644       -0.08553584        1.20907316
     2.68000000       63.07850649       45.51762708       -0.08486457        1.21293107
     2.70000000       63.12467556       45.65473862       -0.08420919        1.21671687
     2.72000000       63.17044216       45.78931964       -0.08356906        1.22043247
     2.74000000       63.21580884       45.92140793       -0.08294383        1.22407929
     2.76000000       63.26076952       46.05105848       -0.08233307        1.22765885
     2.78000000       63.30530256       46.17835699       -0.08173624        1.23117287
     2.80000000       63.34942775       46.30330896       -0.08115313        1.23462246
     2.82000000       63.39310904       46.42602840       -0.08058309        1.23800952
     2.84000000       63.43637519       46.54650386       -0.08002602        1.24133494
     2.86000000       63.47919205       46.66484567       -0.07948129        1.24460058
     2.88000000       63.52158065       46.78105744       -0.07894873        1.24780739
     2.90000000       63.56352499       46.89521423       -0.07842788        1.25095690
     2.92000000       63.60502174       47.00736635       -0.07791840        1.25405040
     2.94000000       63.64608926       47.11752237       -0.07742013        1.25708884
     2.96000000       63.68670434       47.22577040       -0.07693255        1.26007377
     2.98000000       63.72687293       47.33214215       -0.07645542        1.26300627
     3.00000000       63.76661221       47.43664773       -0.07598859        1.26588725
     3.02000000       63.80590351       47.53936539       -0.07553160        1.26871813
     3.04000000       63.84474936       47.64033236       -0.07508420        1.27149996
     3.06000000       63.88315739       47.73957577       -0.07464618        1.27423374
     3.08000000       63.92113784       47.83711742       -0.07421734        1.27692036
     3.10000000       63.95868008       47.93301837       -0.07379734        1.27956103
     3.12000000       63.99578734       48.02731272       -0.07338594        1.28215674
     3.14000000       64.03246300       48.12003385       -0.07298292        1.28470843
     3.16000000       64.06871055       48.21121440       -0.07258806        1.28721704
     3.18000000       64.10453356       48.30088636       -0.07220114        1.28968347
     3.20000000       64.13994176       48.38906957       -0.07182202        1.29210852
     3.22000000       64.17493320       48.47580541       -0.07145044        1.29449313
