#  Mach amont      Angle Choc en °  Theta Mc = 1 en °  Mach aval         Kp
     1.01000000       82.00583688        2.23006571        1.00963231        0.01648878
     1.01500000       80.26381437        2.83414895        1.01424586        0.02460286
     1.02000000       78.81108156        3.36687517        1.01879085        0.03263255
     1.02500000       77.54611300        3.85280033        1.02326529        0.04057990
     1.03000000       76.41642630        4.30466819        1.02766753        0.04844662
     1.03500000       75.39057763        4.73037301        1.03199677        0.05623465
     1.04000000       74.44803357        5.13504872        1.03625172        0.06394576
     1.04500000       73.57447544        5.52231544        1.04043109        0.07158167
     1.05000000       72.75948494        5.89477292        1.04453316        0.07914389
     1.05500000       71.99511169        6.25450002        1.04855687        0.08663417
     1.06000000       71.27516243        6.60311499        1.05250116        0.09405421
     1.06500000       70.59470551        6.94189644        1.05636490        0.10140563
     1.07000000       69.94977052        7.27182692        1.06014654        0.10868974
     1.07500000       69.33702906        7.59378306        1.06384515        0.11590808
     1.08000000       68.75365134        7.90854886        1.06746032        0.12306240
     1.08500000       68.19733073        8.21665420        1.07099053        0.13015372
     1.09000000       67.66598571        8.51868795        1.07443561        0.13718372
     1.09500000       67.15785998        8.81509107        1.07779487        0.14415368
     1.10000000       66.67140877        9.10625622        1.08106781        0.15106490
     1.10500000       66.20525673        9.39254354        1.08425422        0.15791870
     1.11000000       65.75817550        9.67427739        1.08735404        0.16471645
     1.11500000       65.32910669        9.95169085        1.09036683        0.17145908
#  Mach amont      Angle Choc en °  Theta Mc = 1 en °  Mach aval         Kp
     1.11000000       65.75817550        9.67427739        1.08735404        0.16471645
     1.12000000       64.91701879       10.22509532        1.09329326        0.17814823
     1.13000000       64.14040163       10.76060707        1.09888669        0.19136973
     1.14000000       63.42204032       11.28240231        1.10413787        0.20439036
     1.15000000       62.75670763       11.79168052        1.10905093        0.21721806
     1.16000000       62.13982666       12.28956937        1.11363281        0.22986140
     1.17000000       61.56745868       12.77696396        1.11789122        0.24232797
     1.18000000       61.03614101       13.25462101        1.12183499        0.25462482
     1.19000000       60.54279255       13.72319552        1.12547404        0.26675861
     1.20000000       60.08463860       14.18328035        1.12881923        0.27873585
     1.21000000       59.65918763       14.63537439        1.13188192        0.29056243
     1.22000000       59.26417885       15.07991520        1.13467389        0.30224387
     1.23000000       58.89755111       15.51728785        1.13720727        0.31378529
     1.24000000       58.55741775       15.94783222        1.13949429        0.32519145
     1.25000000       58.24204578       16.37184918        1.14154729        0.33646674
     1.26000000       57.94983860       16.78960585        1.14337849        0.34761520
     1.27000000       57.67932171       17.20133876        1.14500000        0.35864054
     1.28000000       57.42912951       17.60726069        1.14642371        0.36954618
     1.29000000       57.19799471       18.00756574        1.14766120        0.38033528
     1.30000000       56.98474080       18.40242360        1.14872375        0.39101066
     1.31000000       56.78827290       18.79198457        1.14962227        0.40157488
     1.32000000       56.60756972       19.17639121        1.15036726        0.41203032
     1.33000000       56.44167878       19.55577113        1.15096880        0.42237913
     1.34000000       56.28971047       19.93024135        1.15143654        0.43262330
     1.35000000       56.15083321       20.29990976        1.15177966        0.44276460
     1.36000000       56.02426907       20.66487660        1.15200690        0.45280469
     1.37000000       55.90928551       21.02519296        1.15212693        0.46274435
     1.38000000       55.80520159       21.38098228        1.15214731        0.47258557
     1.39000000       55.71137540       21.73231224        1.15207557        0.48232937
     1.40000000       55.62720067       22.07923095        1.15191903        0.49197638
     1.41000000       55.55211646       22.42183637        1.15168401        0.50152812
     1.42000000       55.48558513       22.76016279        1.15137712        0.51098492
     1.43000000       55.42710805       23.09428103        1.15100413        0.52034777
     1.44000000       55.37621709       23.42425923        1.15057041        0.52961761
     1.45000000       55.33246326       23.75013060        1.15008144        0.53879471
     1.46000000       55.29542749       24.07194509        1.14954214        0.54787962
     1.47000000       55.26471944       24.38976539        1.14895686        0.55687316
     1.48000000       55.23996688       24.70363688        1.14832991        0.56577581
     1.49000000       55.22081903       25.01360517        1.14766529        0.57458804
     1.50000000       55.20694544       25.31971636        1.14696670        0.58331035
     1.51000000       55.19803497       25.62201726        1.14623756        0.59194325
     1.52000000       55.19379051       25.92054522        1.14548121        0.60048704
     1.53000000       55.19392816       26.21533038        1.14470086        0.60894189
     1.54000000       55.19819637       26.50644243        1.14389884        0.61730883
     1.55000000       55.20634693       26.79392254        1.14307774        0.62558829
     1.56000000       55.21812879       27.07777617        1.14224062        0.63377989
     1.57000000       55.23334542       27.35809955        1.14138870        0.64188532
     1.58000000       55.25175862       27.63487307        1.14052516        0.64990367
     1.59000000       55.27319414       27.90818756        1.13965099        0.65783653
     1.60000000       55.29745874       28.17807093        1.13876816        0.66568411
     1.61000000       55.32436067       28.44453540        1.13787887        0.67344621
     1.62000000       55.35374835       28.70765259        1.13698400        0.68112408
     1.63000000       55.38546089       28.96745774        1.13608503        0.68871813
     1.64000000       55.41934660       29.22398742        1.13518330        0.69622879
     1.65000000       55.45526257       29.47727955        1.13428001        0.70365655
     1.66000000       55.49307434       29.72737337        1.13337626        0.71100198
     1.67000000       55.53265552       29.97430950        1.13247301        0.71826564
     1.68000000       55.57388746       30.21812985        1.13157111        0.72544820
     1.69000000       55.61665896       30.45887766        1.13067130        0.73255035
     1.70000000       55.66086591       30.69659747        1.12977421        0.73957285
     1.71000000       55.70638030       30.93128464        1.12888147        0.74651519
     1.72000000       55.75313548       31.16302703        1.12799264        0.75337927
     1.73000000       55.80104017       31.39186216        1.12710830        0.76016572
     1.74000000       55.84998016       31.61778338        1.12622997        0.76687403
     1.75000000       55.89991496       31.84089395        1.12535664        0.77350656
     1.76000000       55.95072123       32.06115883        1.12449038        0.78006208
     1.77000000       56.00236733       32.27868015        1.12363011        0.78654297
     1.78000000       56.05476277       32.49346168        1.12277691        0.79294906
     1.79000000       56.10783959       32.70553650        1.12193118        0.79928092
     1.80000000       56.16155273       32.91496651        1.12109260        0.80553995
     1.81000000       56.21584009       33.12178220        1.12026154        0.81172671
     1.82000000       56.27063047       33.32599585        1.11943876        0.81784126
     1.83000000       56.32587934       33.52765472        1.11862417        0.82388465
     1.84000000       56.38154309       33.72680263        1.11781773        0.82985783
     1.85000000       56.43757397       33.92347291        1.11701961        0.83576150
     1.86000000       56.49392741       34.11769948        1.11622993        0.84159635
     1.87000000       56.55056193       34.30951689        1.11544878        0.84736315
     1.88000000       56.60743904       34.49896027        1.11467621        0.85306265
