#  Mach amont      Angle Choc en °  Theta Mc = 1 en °  Mach aval         Kp
     1.01000000       82.00583688        2.23006571        1.00963231        0.01648878
     1.01500000       80.26381437        2.83414895        1.01424586        0.02460286
     1.02000000       78.81108156        3.36687517        1.01879085        0.03263255
     1.02500000       77.54611300        3.85280033        1.02326529        0.04057990
     1.03000000       76.41642630        4.30466819        1.02766753        0.04844662
     1.03500000       75.39057763        4.73037301        1.03199677        0.05623465
     1.04000000       74.44803357        5.13504872        1.03625172        0.06394576
     1.04500000       73.57447544        5.52231544        1.04043109        0.07158167
     1.05000000       72.75948494        5.89477292        1.04453316        0.07914389
     1.05500000       71.99511169        6.25450002        1.04855687        0.08663417
     1.06000000       71.27516243        6.60311499        1.05250116        0.09405421
     1.06500000       70.59470551        6.94189644        1.05636490        0.10140563
     1.07000000       69.94977052        7.27182692        1.06014654        0.10868974
     1.07500000       69.33702906        7.59378306        1.06384515        0.11590808
     1.08000000       68.75365134        7.90854886        1.06746032        0.12306240
     1.08500000       68.19733073        8.21665420        1.07099053        0.13015372
     1.09000000       67.66598571        8.51868795        1.07443561        0.13718372
     1.09500000       67.15785998        8.81509107        1.07779487        0.14415368
     1.10000000       66.67140877        9.10625622        1.08106781        0.15106490
     1.10500000       66.20525673        9.39254354        1.08425422        0.15791870
     1.11000000       65.75817550        9.67427739        1.08735404        0.16471645
     1.11500000       65.32910669        9.95169085        1.09036683        0.17145908
