#  Theta paroi en °  Angle Choc en °     Mach amont
     0.00000000        2.86598398       20.00000000
     0.41476585        2.86859800       20.00000000
     0.50405780        2.87225548       20.00000000
     0.60024462        2.87904333       20.00000000
     0.70642417        2.89104846       20.00000000
     0.82071077        2.91035779       20.00000000
     0.94266813        2.93905823       20.00000000
     1.07315043        2.97923669       20.00000000
     1.21366520        3.03298009       20.00000000
     1.36600260        3.10237534       20.00000000
     1.53205375        3.18950936       20.00000000
     1.68140127        3.27664337       20.00000000
     1.81985400        3.36377739       20.00000000
     1.95054766        3.45091140       20.00000000
     2.07538499        3.53804542       20.00000000
     2.19561618        3.62517944       20.00000000
     2.31211138        3.71231345       20.00000000
     2.42550355        3.79944747       20.00000000
     2.53626939        3.88658149       20.00000000
     2.64477795        3.97371550       20.00000000
     2.75132199        4.06084952       20.00000000
     2.85613789        4.14798353       20.00000000
     2.95942008        4.23511755       20.00000000
     3.06133042        4.32225157       20.00000000
     3.16200563        4.40938558       20.00000000
     3.26156212        4.49651960       20.00000000
     3.36010030        4.58365361       20.00000000
     3.45770710        4.67078763       20.00000000
     3.55445877        4.75792165       20.00000000
     3.65042226        4.84505566       20.00000000
     3.74565695        4.93218968       20.00000000
     3.84021568        5.01932369       20.00000000
     3.93414580        5.10645771       20.00000000
     4.02748976        5.19359173       20.00000000
     4.12028599        5.28072574       20.00000000
     4.21256917        5.36785976       20.00000000
     4.30437095        5.45499377       20.00000000
     4.39572012        5.54212779       20.00000000
     4.48664304        5.62926181       20.00000000
     4.57716385        5.71639582       20.00000000
     4.66730481        5.80352984       20.00000000
     4.75708639        5.89066385       20.00000000
     4.84652748        5.97779787       20.00000000
     4.93564562        6.06493189       20.00000000
     5.02445703        6.15206590       20.00000000
     5.11297681        6.23919992       20.00000000
     5.20121900        6.32633393       20.00000000
     5.28919671        6.41346795       20.00000000
     5.37692214        6.50060197       20.00000000
     5.46440674        6.58773598       20.00000000
     5.55166120        6.67487000       20.00000000
     5.63869558        6.76200401       20.00000000
     5.72551930        6.84913803       20.00000000
     5.81214120        6.93627205       20.00000000
     5.89856964        7.02340606       20.00000000
     5.98481247        7.11054008       20.00000000
     6.07087710        7.19767409       20.00000000
     6.15677050        7.28480811       20.00000000
     6.24249933        7.37194213       20.00000000
     6.32806978        7.45907614       20.00000000
     6.41348783        7.54621016       20.00000000
     6.49875905        7.63334417       20.00000000
     6.58388875        7.72047819       20.00000000
     6.66888200        7.80761221       20.00000000
     6.75374357        7.89474622       20.00000000
     6.83847806        7.98188024       20.00000000
     6.92308974        8.06901425       20.00000000
     7.00758279        8.15614827       20.00000000
     7.09196111        8.24328229       20.00000000
     7.17622844        8.33041630       20.00000000
     7.26038837        8.41755032       20.00000000
     7.34444430        8.50468433       20.00000000
     7.42839949        8.59181835       20.00000000
     7.51225702        8.67895237       20.00000000
     7.59601988        8.76608638       20.00000000
     7.67969093        8.85322040       20.00000000
     7.76327284        8.94035441       20.00000000
     7.84676826        9.02748843       20.00000000
     7.93017967        9.11462245       20.00000000
     8.01350943        9.20175646       20.00000000
     8.09675986        9.28889048       20.00000000
     8.17993315        9.37602449       20.00000000
     8.26303141        9.46315851       20.00000000
     8.34605666        9.55029253       20.00000000
     8.42901084        9.63742654       20.00000000
     8.51189581        9.72456056       20.00000000
     8.59471336        9.81169457       20.00000000
     8.67746526        9.89882859       20.00000000
     8.76015311        9.98596261       20.00000000
     8.84277854       10.07309662       20.00000000
     8.92534308       10.16023064       20.00000000
     9.00784821       10.24736465       20.00000000
     9.09029534       10.33449867       20.00000000
     9.17268586       10.42163269       20.00000000
     9.25502110       10.50876670       20.00000000
     9.33730232       10.59590072       20.00000000
     9.41953075       10.68303473       20.00000000
     9.50170757       10.77016875       20.00000000
     9.58383395       10.85730277       20.00000000
     9.66591097       10.94443678       20.00000000
     9.74793971       11.03157080       20.00000000
     9.82992120       11.11870481       20.00000000
     9.91185642       11.20583883       20.00000000
     9.99374636       11.29297285       20.00000000
    10.07559194       11.38010686       20.00000000
    10.15739403       11.46724088       20.00000000
    10.23915353       11.55437489       20.00000000
    10.32087128       11.64150891       20.00000000
    10.40254806       11.72864293       20.00000000
    10.48418470       11.81577694       20.00000000
    10.56578193       11.90291096       20.00000000
    10.64734050       11.99004497       20.00000000
    10.72886112       12.07717899       20.00000000
    10.81034447       12.16431301       20.00000000
    10.89179125       12.25144702       20.00000000
    10.97320207       12.33858104       20.00000000
    11.05457757       12.42571505       20.00000000
    11.13591836       12.51284907       20.00000000
    11.21722504       12.59998309       20.00000000
    11.29849817       12.68711710       20.00000000
    11.37973830       12.77425112       20.00000000
    11.46094598       12.86138513       20.00000000
    11.54212171       12.94851915       20.00000000
    11.62326601       13.03565317       20.00000000
    11.70437937       13.12278718       20.00000000
    11.78546227       13.20992120       20.00000000
    11.86651515       13.29705521       20.00000000
    11.94753848       13.38418923       20.00000000
    12.02853268       13.47132325       20.00000000
    12.10949817       13.55845726       20.00000000
    12.19043538       13.64559128       20.00000000
    12.27134469       13.73272529       20.00000000
    12.35222648       13.81985931       20.00000000
    12.43308113       13.90699333       20.00000000
    12.51390902       13.99412734       20.00000000
    12.59471049       14.08126136       20.00000000
    12.67548587       14.16839538       20.00000000
    12.75623551       14.25552939       20.00000000
    12.83695973       14.34266341       20.00000000
    12.91765884       14.42979742       20.00000000
    12.99833316       14.51693144       20.00000000
    13.07898296       14.60406546       20.00000000
    13.15960855       14.69119947       20.00000000
    13.24021020       14.77833349       20.00000000
    13.32078820       14.86546750       20.00000000
    13.40134279       14.95260152       20.00000000
    13.48187424       15.03973554       20.00000000
    13.56238280       15.12686955       20.00000000
    13.64286870       15.21400357       20.00000000
    13.72333220       15.30113758       20.00000000
    13.80377351       15.38827160       20.00000000
    13.88419285       15.47540562       20.00000000
    13.96459045       15.56253963       20.00000000
    14.04496652       15.64967365       20.00000000
    14.12532126       15.73680766       20.00000000
    14.20565487       15.82394168       20.00000000
    14.28596753       15.91107570       20.00000000
    14.36625944       15.99820971       20.00000000
    14.44653079       16.08534373       20.00000000
    14.52678175       16.17247774       20.00000000
    14.60701249       16.25961176       20.00000000
    14.68722317       16.34674578       20.00000000
    14.76741397       16.43387979       20.00000000
    14.84758503       16.52101381       20.00000000
    14.92773651       16.60814782       20.00000000
    15.00786857       16.69528184       20.00000000
    15.08798133       16.78241586       20.00000000
    15.16807496       16.86954987       20.00000000
    15.24814957       16.95668389       20.00000000
    15.32820531       17.04381790       20.00000000
    15.40824230       17.13095192       20.00000000
    15.48826067       17.21808594       20.00000000
    15.56826053       17.30521995       20.00000000
    15.64824201       17.39235397       20.00000000
    15.72820523       17.47948798       20.00000000
    15.80815027       17.56662200       20.00000000
    15.88807727       17.65375602       20.00000000
    15.96798631       17.74089003       20.00000000
    16.04787750       17.82802405       20.00000000
    16.12775095       17.91515806       20.00000000
    16.20760673       18.00229208       20.00000000
    16.28744494       18.08942610       20.00000000
    16.36726569       18.17656011       20.00000000
    16.44706904       18.26369413       20.00000000
    16.52685507       18.35082814       20.00000000
    16.60662388       18.43796216       20.00000000
    16.68637553       18.52509618       20.00000000
    16.76611011       18.61223019       20.00000000
    16.84582768       18.69936421       20.00000000
    16.92552831       18.78649822       20.00000000
    17.00521208       18.87363224       20.00000000
    17.08487904       18.96076626       20.00000000
    17.16452927       19.04790027       20.00000000
    17.24416280       19.13503429       20.00000000
    17.32377973       19.22216830       20.00000000
    17.40338007       19.30930232       20.00000000
    17.48296392       19.39643634       20.00000000
    17.56253129       19.48357035       20.00000000
    17.64208226       19.57070437       20.00000000
    17.72161685       19.65783838       20.00000000
    17.80113513       19.74497240       20.00000000
    17.88063714       19.83210642       20.00000000
    17.96012291       19.91924043       20.00000000
    18.03959248       20.00637445       20.00000000
    18.11904590       20.09350846       20.00000000
    18.19848320       20.18064248       20.00000000
    18.27790441       20.26777650       20.00000000
    18.35730957       20.35491051       20.00000000
    18.43669871       20.44204453       20.00000000
    18.51607184       20.52917854       20.00000000
    18.59542902       20.61631256       20.00000000
    18.67477026       20.70344658       20.00000000
    18.75409557       20.79058059       20.00000000
    18.83340500       20.87771461       20.00000000
    18.91269855       20.96484862       20.00000000
    18.99197625       21.05198264       20.00000000
    19.07123812       21.13911666       20.00000000
    19.15048417       21.22625067       20.00000000
    19.22971441       21.31338469       20.00000000
    19.30892887       21.40051870       20.00000000
    19.38812756       21.48765272       20.00000000
    19.46731048       21.57478674       20.00000000
    19.54647764       21.66192075       20.00000000
    19.62562906       21.74905477       20.00000000
    19.70476474       21.83618878       20.00000000
    19.78388468       21.92332280       20.00000000
    19.86298890       22.01045682       20.00000000
    19.94207739       22.09759083       20.00000000
    20.02115016       22.18472485       20.00000000
    20.10020721       22.27185886       20.00000000
    20.17924853       22.35899288       20.00000000
    20.25827413       22.44612690       20.00000000
    20.33728400       22.53326091       20.00000000
    20.41627815       22.62039493       20.00000000
    20.49525657       22.70752894       20.00000000
    20.57421924       22.79466296       20.00000000
    20.65316616       22.88179698       20.00000000
    20.73209732       22.96893099       20.00000000
    20.81101272       23.05606501       20.00000000
    20.88991236       23.14319902       20.00000000
    20.96879620       23.23033304       20.00000000
    21.04766424       23.31746706       20.00000000
    21.12651646       23.40460107       20.00000000
    21.20535287       23.49173509       20.00000000
    21.28417343       23.57886910       20.00000000
    21.36297813       23.66600312       20.00000000
    21.44176696       23.75313714       20.00000000
    21.52053990       23.84027115       20.00000000
    21.59929692       23.92740517       20.00000000
    21.67803801       24.01453919       20.00000000
    21.75676314       24.10167320       20.00000000
    21.83547230       24.18880722       20.00000000
    21.91416546       24.27594123       20.00000000
    21.99284260       24.36307525       20.00000000
    22.07150369       24.45020927       20.00000000
    22.15014871       24.53734328       20.00000000
    22.22877763       24.62447730       20.00000000
    22.30739042       24.71161131       20.00000000
    22.38598706       24.79874533       20.00000000
    22.46456751       24.88587935       20.00000000
    22.54313175       24.97301336       20.00000000
    22.62167975       25.06014738       20.00000000
    22.70021147       25.14728139       20.00000000
    22.77872689       25.23441541       20.00000000
    22.85722596       25.32154943       20.00000000
    22.93570865       25.40868344       20.00000000
    23.01417495       25.49581746       20.00000000
    23.09262479       25.58295147       20.00000000
    23.17105815       25.67008549       20.00000000
    23.24947500       25.75721951       20.00000000
    23.32787529       25.84435352       20.00000000
    23.40625898       25.93148754       20.00000000
    23.48462603       26.01862155       20.00000000
    23.56297642       26.10575557       20.00000000
    23.64131009       26.19288959       20.00000000
    23.71962700       26.28002360       20.00000000
    23.79792712       26.36715762       20.00000000
    23.87621038       26.45429163       20.00000000
    23.95447677       26.54142565       20.00000000
    24.03272622       26.62855967       20.00000000
    24.11095870       26.71569368       20.00000000
    24.18917415       26.80282770       20.00000000
    24.26737254       26.88996171       20.00000000
    24.34555381       26.97709573       20.00000000
    24.42371791       27.06422975       20.00000000
    24.50186480       27.15136376       20.00000000
    24.57999442       27.23849778       20.00000000
    24.65810673       27.32563179       20.00000000
    24.73620168       27.41276581       20.00000000
    24.81427921       27.49989983       20.00000000
    24.89233926       27.58703384       20.00000000
    24.97038180       27.67416786       20.00000000
    25.04840676       27.76130187       20.00000000
    25.12641409       27.84843589       20.00000000
    25.20440373       27.93556991       20.00000000
    25.28237563       28.02270392       20.00000000
    25.36032974       28.10983794       20.00000000
    25.43826598       28.19697195       20.00000000
    25.51618431       28.28410597       20.00000000
    25.59408467       28.37123999       20.00000000
    25.67196700       28.45837400       20.00000000
    25.74983123       28.54550802       20.00000000
    25.82767731       28.63264203       20.00000000
    25.90550518       28.71977605       20.00000000
    25.98331477       28.80691007       20.00000000
    26.06110602       28.89404408       20.00000000
    26.13887887       28.98117810       20.00000000
    26.21663325       29.06831211       20.00000000
    26.29436910       29.15544613       20.00000000
    26.37208635       29.24258015       20.00000000
    26.44978494       29.32971416       20.00000000
    26.52746480       29.41684818       20.00000000
    26.60512587       29.50398219       20.00000000
    26.68276807       29.59111621       20.00000000
    26.76039133       29.67825023       20.00000000
    26.83799559       29.76538424       20.00000000
    26.91558077       29.85251826       20.00000000
    26.99314682       29.93965227       20.00000000
    27.07069364       30.02678629       20.00000000
    27.14822118       30.11392031       20.00000000
    27.22572936       30.20105432       20.00000000
    27.30321810       30.28818834       20.00000000
    27.38068734       30.37532235       20.00000000
    27.45813699       30.46245637       20.00000000
    27.53556698       30.54959039       20.00000000
    27.61297724       30.63672440       20.00000000
    27.69036768       30.72385842       20.00000000
    27.76773824       30.81099243       20.00000000
    27.84508882       30.89812645       20.00000000
    27.92241936       30.98526047       20.00000000
    27.99972978       31.07239448       20.00000000
    28.07701999       31.15952850       20.00000000
    28.15428991       31.24666251       20.00000000
    28.23153946       31.33379653       20.00000000
    28.30876856       31.42093055       20.00000000
    28.38597713       31.50806456       20.00000000
    28.46316507       31.59519858       20.00000000
    28.54033232       31.68233259       20.00000000
    28.61747878       31.76946661       20.00000000
    28.69460436       31.85660063       20.00000000
    28.77170899       31.94373464       20.00000000
    28.84879257       32.03086866       20.00000000
    28.92585501       32.11800267       20.00000000
    29.00289623       32.20513669       20.00000000
    29.07991614       32.29227071       20.00000000
    29.15691465       32.37940472       20.00000000
    29.23389166       32.46653874       20.00000000
    29.31084708       32.55367275       20.00000000
    29.38778083       32.64080677       20.00000000
    29.46469282       32.72794079       20.00000000
    29.54158293       32.81507480       20.00000000
    29.61845109       32.90220882       20.00000000
    29.69529720       32.98934283       20.00000000
    29.77212116       33.07647685       20.00000000
    29.84892288       33.16361087       20.00000000
    29.92570225       33.25074488       20.00000000
    30.00245918       33.33787890       20.00000000
    30.07919358       33.42501291       20.00000000
    30.15590533       33.51214693       20.00000000
    30.23259435       33.59928095       20.00000000
    30.30926053       33.68641496       20.00000000
    30.38590377       33.77354898       20.00000000
    30.46252396       33.86068300       20.00000000
    30.53912101       33.94781701       20.00000000
    30.61569481       34.03495103       20.00000000
    30.69224526       34.12208504       20.00000000
    30.76877224       34.20921906       20.00000000
    30.84527566       34.29635308       20.00000000
    30.92175540       34.38348709       20.00000000
    30.99821136       34.47062111       20.00000000
    31.07464343       34.55775512       20.00000000
    31.15105150       34.64488914       20.00000000
    31.22743547       34.73202316       20.00000000
    31.30379521       34.81915717       20.00000000
    31.38013061       34.90629119       20.00000000
    31.45644157       34.99342520       20.00000000
    31.53272798       35.08055922       20.00000000
    31.60898971       35.16769324       20.00000000
    31.68522665       35.25482725       20.00000000
    31.76143869       35.34196127       20.00000000
    31.83762571       35.42909528       20.00000000
    31.91378759       35.51622930       20.00000000
    31.98992421       35.60336332       20.00000000
    32.06603546       35.69049733       20.00000000
    32.14212121       35.77763135       20.00000000
    32.21818134       35.86476536       20.00000000
    32.29421574       35.95189938       20.00000000
    32.37022427       36.03903340       20.00000000
    32.44620681       36.12616741       20.00000000
    32.52216325       36.21330143       20.00000000
    32.59809346       36.30043544       20.00000000
    32.67399730       36.38756946       20.00000000
    32.74987465       36.47470348       20.00000000
    32.82572539       36.56183749       20.00000000
    32.90154938       36.64897151       20.00000000
    32.97734650       36.73610552       20.00000000
    33.05311661       36.82323954       20.00000000
    33.12885959       36.91037356       20.00000000
    33.20457529       36.99750757       20.00000000
    33.28026359       37.08464159       20.00000000
    33.35592435       37.17177560       20.00000000
    33.43155744       37.25890962       20.00000000
    33.50716272       37.34604364       20.00000000
    33.58274006       37.43317765       20.00000000
    33.65828930       37.52031167       20.00000000
    33.73381033       37.60744568       20.00000000
    33.80930298       37.69457970       20.00000000
    33.88476713       37.78171372       20.00000000
    33.96020264       37.86884773       20.00000000
    34.03560935       37.95598175       20.00000000
    34.11098712       38.04311576       20.00000000
    34.18633582       38.13024978       20.00000000
    34.26165529       38.21738380       20.00000000
    34.33694538       38.30451781       20.00000000
    34.41220595       38.39165183       20.00000000
    34.48743685       38.47878584       20.00000000
    34.56263793       38.56591986       20.00000000
    34.63780903       38.65305388       20.00000000
    34.71295000       38.74018789       20.00000000
    34.78806069       38.82732191       20.00000000
    34.86314095       38.91445592       20.00000000
    34.93819062       39.00158994       20.00000000
    35.01320954       39.08872396       20.00000000
    35.08819756       39.17585797       20.00000000
    35.16315450       39.26299199       20.00000000
    35.23808023       39.35012600       20.00000000
    35.31297457       39.43726002       20.00000000
    35.38783736       39.52439404       20.00000000
    35.46266843       39.61152805       20.00000000
    35.53746763       39.69866207       20.00000000
    35.61223479       39.78579608       20.00000000
    35.68696973       39.87293010       20.00000000
    35.76167229       39.96006412       20.00000000
    35.83634231       40.04719813       20.00000000
    35.91097961       40.13433215       20.00000000
    35.98558401       40.22146616       20.00000000
    36.06015536       40.30860018       20.00000000
    36.13469345       40.39573420       20.00000000
    36.20919814       40.48286821       20.00000000
    36.28366924       40.57000223       20.00000000
    36.35810657       40.65713624       20.00000000
    36.43250994       40.74427026       20.00000000
    36.50687919       40.83140428       20.00000000
    36.58121413       40.91853829       20.00000000
    36.65551457       41.00567231       20.00000000
    36.72978033       41.09280632       20.00000000
    36.80401122       41.17994034       20.00000000
    36.87820707       41.26707436       20.00000000
    36.95236767       41.35420837       20.00000000
    37.02649284       41.44134239       20.00000000
    37.10058238       41.52847640       20.00000000
    37.17463611       41.61561042       20.00000000
    37.24865383       41.70274444       20.00000000
    37.32263535       41.78987845       20.00000000
    37.39658046       41.87701247       20.00000000
    37.47048897       41.96414648       20.00000000
    37.54436068       42.05128050       20.00000000
    37.61819539       42.13841452       20.00000000
    37.69199290       42.22554853       20.00000000
    37.76575299       42.31268255       20.00000000
    37.83947548       42.39981656       20.00000000
    37.91316014       42.48695058       20.00000000
    37.98680677       42.57408460       20.00000000
    38.06041516       42.66121861       20.00000000
    38.13398509       42.74835263       20.00000000
    38.20751636       42.83548664       20.00000000
    38.28100876       42.92262066       20.00000000
    38.35446205       43.00975468       20.00000000
    38.42787603       43.09688869       20.00000000
    38.50125048       43.18402271       20.00000000
    38.57458517       43.27115672       20.00000000
    38.64787989       43.35829074       20.00000000
    38.72113439       43.44542476       20.00000000
    38.79434847       43.53255877       20.00000000
    38.86752190       43.61969279       20.00000000
    38.94065443       43.70682680       20.00000000
    39.01374585       43.79396082       20.00000000
    39.08679592       43.88109484       20.00000000
    39.15980441       43.96822885       20.00000000
    39.23277107       44.05536287       20.00000000
    39.30569567       44.14249689       20.00000000
    39.37857796       44.22963090       20.00000000
    39.45141772       44.31676492       20.00000000
    39.52421470       44.40389893       20.00000000
    39.59696864       44.49103295       20.00000000
    39.66967930       44.57816697       20.00000000
    39.74234644       44.66530098       20.00000000
    39.81496979       44.75243500       20.00000000
    39.88754912       44.83956901       20.00000000
    39.96008416       44.92670303       20.00000000
    40.03257465       45.01383705       20.00000000
    40.10502035       45.10097106       20.00000000
    40.17742098       45.18810508       20.00000000
    40.24977628       45.27523909       20.00000000
    40.32208600       45.36237311       20.00000000
    40.39434986       45.44950713       20.00000000
    40.46656759       45.53664114       20.00000000
    40.53873893       45.62377516       20.00000000
    40.61086359       45.71090917       20.00000000
    40.68294132       45.79804319       20.00000000
    40.75497182       45.88517721       20.00000000
    40.82695482       45.97231122       20.00000000
    40.89889004       46.05944524       20.00000000
    40.97077719       46.14657925       20.00000000
    41.04261599       46.23371327       20.00000000
    41.11440616       46.32084729       20.00000000
    41.18614739       46.40798130       20.00000000
    41.25783940       46.49511532       20.00000000
    41.32948189       46.58224933       20.00000000
    41.40107457       46.66938335       20.00000000
    41.47261713       46.75651737       20.00000000
    41.54410928       46.84365138       20.00000000
    41.61555071       46.93078540       20.00000000
    41.68694111       47.01791941       20.00000000
    41.75828018       47.10505343       20.00000000
    41.82956760       47.19218745       20.00000000
    41.90080306       47.27932146       20.00000000
    41.97198625       47.36645548       20.00000000
    42.04311683       47.45358949       20.00000000
    42.11419450       47.54072351       20.00000000
    42.18521893       47.62785753       20.00000000
    42.25618979       47.71499154       20.00000000
    42.32710676       47.80212556       20.00000000
    42.39796949       47.88925957       20.00000000
    42.46877766       47.97639359       20.00000000
    42.53953093       48.06352761       20.00000000
    42.61022897       48.15066162       20.00000000
    42.68087141       48.23779564       20.00000000
    42.75145793       48.32492965       20.00000000
    42.82198817       48.41206367       20.00000000
    42.89246179       48.49919769       20.00000000
    42.96287842       48.58633170       20.00000000
    43.03323771       48.67346572       20.00000000
    43.10353931       48.76059973       20.00000000
    43.17378284       48.84773375       20.00000000
    43.24396795       48.93486777       20.00000000
    43.31409427       49.02200178       20.00000000
    43.38416141       49.10913580       20.00000000
    43.45416902       49.19626981       20.00000000
    43.52411670       49.28340383       20.00000000
    43.59400409       49.37053785       20.00000000
    43.66383079       49.45767186       20.00000000
    43.73359642       49.54480588       20.00000000
    43.80330059       49.63193989       20.00000000
    43.87294290       49.71907391       20.00000000
