#     Mach amont     Angle Choc en °    ThetaMax en °  Inverse Mach cone        Kp
     1.01000000       84.70422225        4.43546962       -0.03300115        0.06970432
     1.01500000       83.56682616        5.40600010       -0.04495840        0.09616196
     1.02000000       82.62093271        6.22240808       -0.05570004        0.12022703
     1.02500000       81.81751291        6.94025651       -0.06563063        0.14262330
     1.03000000       81.11020198        7.58834033       -0.07489369        0.16363916
     1.03500000       80.46218228        8.18385174       -0.08351565        0.18337473
     1.04000000       79.88796225        8.73790293       -0.09176495        0.20226187
     1.04500000       79.34671518        9.25831851       -0.09949968        0.22013820
     1.05000000       78.84615207        9.75068738       -0.10686845        0.23724587
     1.05500000       78.39935587       10.21922076       -0.11406641        0.25387457
     1.06000000       77.96564633       10.66725920       -0.12083444        0.26969821
     1.06500000       77.55933376       11.09736137       -0.12734029        0.28496416
     1.07000000       77.19844633       11.51159252       -0.13380427        0.29997351
     1.07500000       76.83965982       11.91173941       -0.13986909        0.31428056
     1.08000000       76.50113339       12.29919068       -0.14573459        0.32815874
     1.08500000       76.18119537       12.67514809       -0.15141661        0.34164059
     1.09000000       75.90185298       13.04058905       -0.15718214        0.35506277
     1.09500000       75.61555819       13.39648220       -0.16255222        0.36784866
     1.10000000       75.34404664       13.74353644       -0.16777668        0.38031526
     1.10500000       75.08635225       14.08241215       -0.17286573        0.39248320
     1.11000000       74.84161661       14.41368847       -0.17782866        0.40437116
     1.11500000       74.60907251       14.73787618       -0.18267396        0.41599611
     1.11000000       74.84161661       14.41368847       -0.17782866        0.40437116
     1.12000000       74.38803047       15.05542821       -0.18740942        0.42737350
     1.13000000       73.95026590       15.67226433       -0.19621163        0.44903320
     1.14000000       73.57855910       16.26684373       -0.20499325        0.47024346
     1.15000000       73.21292948       16.84152444       -0.21303481        0.49025189
     1.16000000       72.90863347       17.39805613       -0.22119791        0.51001648
     1.17000000       72.60306983       17.93811864       -0.22863767        0.52867479
     1.18000000       72.32365058       18.46296280       -0.23581086        0.54673698
     1.19000000       72.06847306       18.97371604       -0.24274588        0.56425355
     1.20000000       71.83586323       19.47134787       -0.24946854        0.58126913
     1.21000000       71.62433764       19.95669782       -0.25600244        0.59782336
     1.22000000       71.39762533       20.43061179       -0.26174041        0.61336355
     1.23000000       71.22377461       20.89354697       -0.26793143        0.62908104
     1.24000000       71.03120028       21.34627605       -0.27330673        0.64381158
     1.25000000       70.85394010       21.78921075       -0.27851268        0.65817065
     1.26000000       70.72863863       22.22273754       -0.28431199        0.67283751
     1.27000000       70.58018145       22.64746196       -0.28925667        0.68654163
     1.28000000       70.44474781       23.06366411       -0.29407798        0.69994191
     1.29000000       70.32170301       23.47169154       -0.29878944        0.71305722
