#     Mach amont     Angle Choc en °    ThetaMax en °  Inverse Mach cone        Kp
     6.00000000       73.33289264       55.43344343       -0.44223547        1.56911983
     7.00000000       73.53737951       56.01842456       -0.44164563        1.58191899
     8.00000000       73.66083670       56.40300496       -0.44022072        1.59005068
     9.00000000       73.75359560       56.66888467       -0.43970605        1.59574758
    10.00000000       73.88199558       56.85968729       -0.44413285        1.60081881
    11.00000000       73.86668645       57.00244456       -0.43869468        1.60278661
    12.00000000       73.95421483       57.11061314       -0.44235664        1.60587972
    13.00000000       73.97042572       57.19541656       -0.44108600        1.60745037
    14.00000000       73.99720652       57.26272175       -0.44117351        1.60891941
    15.00000000       74.03243632       57.31698650       -0.44232809        1.61032199
    16.00000000       74.07452641       57.36128444       -0.44433813        1.61168062
