#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000       46.00698325        0.00000000        0.28057554        1.39000000
     2.19213413       46.00830304        0.01026423        0.27544753        1.39000000        1.38996303
     2.55740106       46.01014966        0.01338545        0.27388448        1.39000000        1.38991131
     2.98328316       46.01357677        0.01742464        0.27185910        1.39000000        1.38981532
     3.46113859       46.01963803        0.02243659        0.26934174        1.39000000        1.38964559
     3.96374702       46.02938710        0.02822135        0.26643030        1.39000000        1.38937266
     4.47393120       46.04387764        0.03459981        0.26321251        1.39000000        1.38896713
     4.98349500       46.06416331        0.04145289        0.25974623        1.39000000        1.38839974
     5.48913832       46.09129777        0.04870732        0.25606640        1.39000000        1.38764136
     5.98994847       46.12633467        0.05631974        0.25219300        1.39000000        1.38666307
     6.48613893       46.17032769        0.06426594        0.24813623        1.39000000        1.38543623
     6.89431881       46.21432071        0.07109494        0.24463846        1.39000000        1.38421109
     7.24515007       46.25831372        0.07717007        0.24151776        1.39000000        1.38298763
     7.55526168       46.30230674        0.08269533        0.23867192        1.39000000        1.38176586
     7.83477083       46.34629976        0.08779824        0.23603707        1.39000000        1.38054575
     8.09033028       46.39029277        0.09256458        0.23357021        1.39000000        1.37932732
     8.32656830       46.43428579        0.09705517        0.23124085        1.39000000        1.37811055
     8.54684542       46.47827881        0.10131493        0.22902648        1.39000000        1.37689544
     8.75368533       46.52227182        0.10537806        0.22690994        1.39000000        1.37568198
     8.94903549       46.56626484        0.10927133        0.22487782        1.39000000        1.37447016
     9.13443283       46.61025786        0.11301609        0.22291941        1.39000000        1.37325999
     9.31111338       46.65425087        0.11662971        0.22102599        1.39000000        1.37205145
     9.48008727       46.69824389        0.12012652        0.21919037        1.39000000        1.37084454
     9.64219149       46.74223691        0.12351851        0.21740654        1.39000000        1.36963926
     9.79812804       46.78622993        0.12681581        0.21566942        1.39000000        1.36843559
     9.94849192       46.83022294        0.13002708        0.21397466        1.39000000        1.36723354
    10.09379220       46.87421596        0.13315978        0.21231851        1.39000000        1.36603309
    10.23446813       46.91820898        0.13622039        0.21069773        1.39000000        1.36483424
    10.37090158       46.96220199        0.13921458        0.20910946        1.39000000        1.36363700
    10.50342673       47.00619501        0.14214733        0.20755121        1.39000000        1.36244134
    10.63233792       47.05018803        0.14502308        0.20602074        1.39000000        1.36124727
    10.75789581       47.09418104        0.14784576        0.20451609        1.39000000        1.36005479
    10.88033240       47.13817406        0.15061888        0.20303548        1.39000000        1.35886387
    10.99985525       47.18216708        0.15334562        0.20157732        1.39000000        1.35767453
    11.11665075       47.22616009        0.15602882        0.20014019        1.39000000        1.35648676
    11.23088702       47.27015311        0.15867109        0.19872277        1.39000000        1.35530055
    11.34271629       47.31414613        0.16127476        0.19732388        1.39000000        1.35411589
    11.45227680       47.35813914        0.16384198        0.19594246        1.39000000        1.35293278
    11.55969459       47.40213216        0.16637471        0.19457750        1.39000000        1.35175122
    11.66508481       47.44612518        0.16887475        0.19322811        1.39000000        1.35057120
    11.76855310       47.49011819        0.17134377        0.19189345        1.39000000        1.34939271
    11.87019649       47.53411121        0.17378327        0.19057276        1.39000000        1.34821576
    11.97010443       47.57810423        0.17619468        0.18926531        1.39000000        1.34704033
    12.06835954       47.62209724        0.17857931        0.18797047        1.39000000        1.34586642
    12.16503827       47.66609026        0.18093835        0.18668760        1.39000000        1.34469403
    12.26021157       47.71008328        0.18327295        0.18541615        1.39000000        1.34352316
    12.35394538       47.75407629        0.18558416        0.18415558        1.39000000        1.34235379
    12.44630108       47.79806931        0.18787295        0.18290540        1.39000000        1.34118592
    12.53733597       47.84206233        0.19014025        0.18166514        1.39000000        1.34001955
    12.62710357       47.88605534        0.19238692        0.18043437        1.39000000        1.33885467
    12.71565400       47.93004836        0.19461376        0.17921269        1.39000000        1.33769128
    12.80303420       47.97404138        0.19682153        0.17799970        1.39000000        1.33652937
    12.88928830       48.01803439        0.19901094        0.17679505        1.39000000        1.33536895
    12.97445775       48.06202741        0.20118267        0.17559840        1.39000000        1.33421000
    13.05858156       48.10602043        0.20333735        0.17440942        1.39000000        1.33305252
    13.14169655       48.15001344        0.20547558        0.17322782        1.39000000        1.33189650
    13.22383742       48.19400646        0.20759792        0.17205331        1.39000000        1.33074195
    13.30503699       48.23799948        0.20970491        0.17088561        1.39000000        1.32958885
    13.38532631       48.28199249        0.21179706        0.16972447        1.39000000        1.32843721
    13.46473475       48.32598551        0.21387485        0.16856964        1.39000000        1.32728702
    13.54329020       48.36997853        0.21593873        0.16742090        1.39000000        1.32613827
    13.62101907       48.41397154        0.21798914        0.16627801        1.39000000        1.32499096
    13.69794651       48.45796456        0.22002650        0.16514078        1.39000000        1.32384508
    13.77409639       48.50195758        0.22205119        0.16400900        1.39000000        1.32270064
    13.84949143       48.54595060        0.22406359        0.16288247        1.39000000        1.32155762
