#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000        9.59406823        0.00000000        0.83333333        6.00000000
     1.00413915        9.59648040        0.00156402        0.83228099        6.00000000        5.99943279
     1.21709694        9.59985547        0.00214922        0.83189541        6.00000000        5.99863956
     1.44393833        9.60611919        0.00284497        0.83144255        6.00000000        5.99716861
     1.68866431        9.61719734        0.00367325        0.83091105        6.00000000        5.99457088
     1.94328047        9.63501569        0.00461544        0.83031619        6.00000000        5.99040281
     2.20356204        9.66150002        0.00565931        0.82966876        6.00000000        5.98423053
     2.46863549        9.69857608        0.00680317        0.82897276        6.00000000        5.97563523
     2.73934125        9.74816967        0.00805317        0.82822750        6.00000000        5.96421921
     3.01728521        9.81220654        0.00942104        0.82742937        6.00000000        5.94961237
     3.30438865        9.89261247        0.01092271        0.82657288        6.00000000        5.93147831
     3.55068697        9.97301841        0.01228236        0.82581411        6.00000000        5.91356547
     3.77051627       10.05342434        0.01355143        0.82511933        6.00000000        5.89586492
     3.97161057       10.13383027        0.01475823        0.82446997        6.00000000        5.87836816
     4.15865709       10.21423620        0.01592011        0.82385462        6.00000000        5.86106712
     4.33472873       10.29464213        0.01704858        0.82326570        6.00000000        5.84395416
     4.50195794       10.37504806        0.01815165        0.82269789        6.00000000        5.82702199
     4.66188980       10.45545400        0.01923515        0.82214731        6.00000000        5.81026371
     4.81568236       10.53585993        0.02030347        0.82161102        6.00000000        5.79367272
     4.96422787       10.61626586        0.02135997        0.82108675        6.00000000        5.77724279
     5.10822945       10.69667179        0.02240732        0.82057270        6.00000000        5.76096794
     5.24825171       10.77707772        0.02344765        0.82006740        6.00000000        5.74484252
     5.38475561       10.85748365        0.02448268        0.81956966        6.00000000        5.72886111
     5.51812265       10.93788959        0.02551386        0.81907849        6.00000000        5.71301858
     5.64867248       11.01829552        0.02654236        0.81859305        6.00000000        5.69731003
     5.77667580       11.09870145        0.02756918        0.81811262        6.00000000        5.68173078
     5.90236409       11.17910738        0.02859520        0.81763659        6.00000000        5.66627637
     6.02593688       11.25951331        0.02962112        0.81716444        6.00000000        5.65094255
     6.14756756       11.33991925        0.03064757        0.81669570        6.00000000        5.63572526
     6.26740783       11.42032518        0.03167511        0.81622996        6.00000000        5.62062064
     6.38559123       11.50073111        0.03270421        0.81576687        6.00000000        5.60562499
     6.50223599       11.58113704        0.03373528        0.81530611        6.00000000        5.59073477
     6.61744734       11.66154297        0.03476869        0.81484739        6.00000000        5.57594662
     6.73131941       11.74194890        0.03580476        0.81439047        6.00000000        5.56125732
     6.84393671       11.82235484        0.03684379        0.81393510        6.00000000        5.54666379
     6.95537551       11.90276077        0.03788602        0.81348110        6.00000000        5.53216308
     7.06570487       11.98316670        0.03893169        0.81302825        6.00000000        5.51775239
     7.17498751       12.06357263        0.03998100        0.81257640        6.00000000        5.50342902
     7.28328065       12.14397856        0.04103414        0.81212539        6.00000000        5.48919041
     7.39063661       12.22438449        0.04209127        0.81167508        6.00000000        5.47503409
     7.49710336       12.30479043        0.04315254        0.81122533        6.00000000        5.46095771
     7.60272504       12.38519636        0.04421809        0.81077602        6.00000000        5.44695902
     7.70754233       12.46560229        0.04528804        0.81032704        6.00000000        5.43303586
     7.81159288       12.54600822        0.04636251        0.80987829        6.00000000        5.41918617
     7.91491151       12.62641415        0.04744159        0.80942967        6.00000000        5.40540797
     8.01753057       12.70682009        0.04852537        0.80898109        6.00000000        5.39169937
     8.11948017       12.78722602        0.04961395        0.80853248        6.00000000        5.37805855
     8.22078838       12.86763195        0.05070740        0.80808375        6.00000000        5.36448378
     8.32148140       12.94803788        0.05180578        0.80763482        6.00000000        5.35097341
     8.42158372       13.02844381        0.05290917        0.80718565        6.00000000        5.33752582
     8.52111836       13.10884974        0.05401762        0.80673616        6.00000000        5.32413950
     8.62010685       13.18925568        0.05513119        0.80628628        6.00000000        5.31081299
