#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000        1.14599200        0.00000000        0.98000000       50.00000000
     0.20905254        1.14865762        0.00005485        0.97973586       50.00000000       49.96123532
     0.25511379        1.15238729        0.00007596        0.97963948       50.00000000       49.90724589
     0.30605440        1.15930913        0.00010219        0.97952337       50.00000000       49.80780297
     0.36445194        1.17155124        0.00013584        0.97937993       50.00000000       49.63424856
     0.43037305        1.19124172        0.00017833        0.97920684       50.00000000       49.36097942
     0.50456921        1.22050870        0.00023181        0.97899995       50.00000000       48.96707804
     0.58840602        1.26148027        0.00029953        0.97875279       50.00000000       48.43739615
     0.68353897        1.31628454        0.00038587        0.97845669       50.00000000       47.76247138
     0.79171687        1.38704963        0.00049654        0.97810079       50.00000000       46.93712690
     0.91468975        1.47590364        0.00063877        0.97767165       50.00000000       45.95829362
     1.02903294        1.56475765        0.00078698        0.97724892       50.00000000       45.02885701
     1.13767771        1.65361166        0.00094223        0.97682581       50.00000000       44.13816401
     1.24223003        1.74246566        0.00110506        0.97639879       50.00000000       43.27905599
     1.34368015        1.83131967        0.00127576        0.97596588       50.00000000       42.44668265
     1.44268925        1.92017368        0.00145448        0.97552593       50.00000000       41.63773977
     1.53972431        2.00902769        0.00164135        0.97507832       50.00000000       40.84996748
     1.63512924        2.09788170        0.00183642        0.97462272       50.00000000       40.08181371
     1.72916566        2.18673570        0.00203975        0.97415901       50.00000000       39.33220532
     1.82203761        2.27558971        0.00225135        0.97368723       50.00000000       38.60039073
     1.91390765        2.36444372        0.00247126        0.97320747       50.00000000       37.88583121
     2.00490748        2.45329773        0.00269949        0.97271990       50.00000000       37.18812547
     2.09514528        2.54215174        0.00293606        0.97222475       50.00000000       36.50695763
     2.18471123        2.63100574        0.00318096        0.97172224       50.00000000       35.84206135
     2.27368087        2.71985975        0.00343420        0.97121263       50.00000000       35.19319565
     2.36211850        2.80871376        0.00369579        0.97069618       50.00000000       34.56012874
     2.45007901        2.89756777        0.00396573        0.97017315       50.00000000       33.94262772
     2.53760972        2.98642178        0.00424402        0.96964381       50.00000000       33.34045227
     2.62475173        3.07527578        0.00453067        0.96910842       50.00000000       32.75335123
     2.71154078        3.16412979        0.00482566        0.96856722       50.00000000       32.18106112
     2.79800823        3.25298380        0.00512901        0.96802047       50.00000000       31.62330600
     2.88418186        3.34183781        0.00544071        0.96746839       50.00000000       31.07979814
     2.97008603        3.43069182        0.00576075        0.96691121       50.00000000       30.55023933
     3.05574250        3.51954582        0.00608914        0.96634916       50.00000000       30.03432243
     3.14117073        3.60839983        0.00642587        0.96578244       50.00000000       29.53173308
     3.22638804        3.69725384        0.00677094        0.96521125       50.00000000       29.04215144
     3.31141008        3.78610785        0.00712436        0.96463579       50.00000000       28.56525394
     3.39625087        3.87496186        0.00748611        0.96405622       50.00000000       28.10071484
     3.48092310        3.96381586        0.00785619        0.96347273       50.00000000       27.64820774
     3.56543832        4.05266987        0.00823460        0.96288549       50.00000000       27.20740695
     3.64980696        4.14152388        0.00862134        0.96229463       50.00000000       26.77798869
     3.73403853        4.23037789        0.00901641        0.96170032       50.00000000       26.35963214
     3.81814170        4.31923190        0.00941979        0.96110269       50.00000000       25.95202036
     3.90212444        4.40808590        0.00983149        0.96050188       50.00000000       25.55484110
     3.98599402        4.49693991        0.01025150        0.95989801       50.00000000       25.16778745
     4.06975712        4.58579392        0.01067983        0.95929120       50.00000000       24.79055841
     4.15341990        4.67464793        0.01111645        0.95868157       50.00000000       24.42285931
     4.23698801        4.76350194        0.01156138        0.95806922       50.00000000       24.06440221
     4.32046664        4.85235594        0.01201461        0.95745426       50.00000000       23.71490612
     4.40386071        4.94120995        0.01247613        0.95683678       50.00000000       23.37409726
     4.48717460        5.03006396        0.01294593        0.95621688       50.00000000       23.04170916
     4.57041255        5.11891797        0.01342403        0.95559465       50.00000000       22.71748277
     4.65357834        5.20777198        0.01391040        0.95497016       50.00000000       22.40116648
     4.73667558        5.29662598        0.01440504        0.95434349       50.00000000       22.09251612
     4.81970764        5.38547999        0.01490796        0.95371472       50.00000000       21.79129490
     4.90267758        5.47433400        0.01541914        0.95308393       50.00000000       21.49727339
     4.98558833        5.56318801        0.01593858        0.95245117       50.00000000       21.21022937
     5.06844258        5.65204202        0.01646628        0.95181652       50.00000000       20.92994775
     5.15124289        5.74089602        0.01700223        0.95118003       50.00000000       20.65622040
     5.23399161        5.82975003        0.01754642        0.95054176       50.00000000       20.38884606
     5.31669098        5.91860404        0.01809886        0.94990176       50.00000000       20.12763012
     5.39934310        6.00745805        0.01865953        0.94926010       50.00000000       19.87238450
     5.48194994        6.09631206        0.01922843        0.94861681       50.00000000       19.62292745
     5.56451330        6.18516606        0.01980555        0.94797195       50.00000000       19.37908339
     5.64703492        6.27402007        0.02039090        0.94732556       50.00000000       19.14068272
     5.72951650        6.36287408        0.02098445        0.94667768       50.00000000       18.90756165
     5.81195950        6.45172809        0.02158622        0.94602835       50.00000000       18.67956201
     5.89436541        6.54058210        0.02219618        0.94537762       50.00000000       18.45653106
     5.97673559        6.62943610        0.02281435        0.94472552       50.00000000       18.23832134
     6.05907133        6.71829011        0.02344070        0.94407208       50.00000000       18.02479049
     6.14137386        6.80714412        0.02407523        0.94341734       50.00000000       17.81580104
     6.22364434        6.89599813        0.02471795        0.94276133       50.00000000       17.61122026
     6.30588384        6.98485214        0.02536883        0.94210408       50.00000000       17.41092004
     6.38809345        7.07370614        0.02602789        0.94144562       50.00000000       17.21477665
     6.47027410        7.16256015        0.02669510        0.94078598       50.00000000       17.02267062
     6.55242672        7.25141416        0.02737046        0.94012518       50.00000000       16.83448661
     6.63455224        7.34026817        0.02805397        0.93946325       50.00000000       16.65011321
     6.71665146        7.42912218        0.02874562        0.93880021       50.00000000       16.46944282
     6.79872518        7.51797618        0.02944541        0.93813609       50.00000000       16.29237154
     6.88077416        7.60683019        0.03015332        0.93747090       50.00000000       16.11879897
     6.96279913        7.69568420        0.03086935        0.93680467       50.00000000       15.94862814
     7.04480077        7.78453821        0.03159349        0.93613742       50.00000000       15.78176534
     7.12677972        7.87339222        0.03232574        0.93546916       50.00000000       15.61812002
     7.20873661        7.96224622        0.03306609        0.93479992       50.00000000       15.45760467
     7.29067203        8.05110023        0.03381453        0.93412971       50.00000000       15.30013470
     7.37258653        8.13995424        0.03457105        0.93345855       50.00000000       15.14562834
     7.45448066        8.22880825        0.03533565        0.93278645       50.00000000       14.99400653
     7.53635492        8.31766226        0.03610832        0.93211343       50.00000000       14.84519282
     7.61820981        8.40651626        0.03688905        0.93143950       50.00000000       14.69911325
     7.70004579        8.49537027        0.03767784        0.93076467       50.00000000       14.55569630
